,MaxEStateIndex,MinAbsEStateIndex,MolWt,HeavyAtomMolWt,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan3,BalabanJ,Chi3n,Chi3v,Ipc,Kappa3,PEOE_VSA1,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA6,SlogP_VSA5,TPSA,EState_VSA5,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,HeavyAtomCount,NOCount,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms
sample_1,7.506944444444445,1.1805555555555556,53.06399999999999,50.04,-0.1931212607867276,0.1931212607867276,0.0905313753738046,2.0,2.25,2.9217836800202117,0.0912870929175276,0.0912870929175276,6.854752972273345,1.23,0.0,0.0,6.076020106833881,6.069221312792274,0.0,0.0,0.0,23.79,6.076020106833881,7.506944444444445,0.0,0.0,1.6944444444444444,1.1805555555555556,4,1,0,1,0,1
sample_2,9.055555555555555,0.6388888888888888,56.064,52.032,-0.2985870897392271,0.2985870897392271,0.1417458219422101,1.75,2.0,2.7320508075688776,0.0962250448649376,0.0962250448649376,6.854752972273345,1.4100000000000017,0.0,6.076020106833881,0.0,0.0,6.286160523129555,0.0,0.0,17.07,6.076020106833881,0.0,0.0,0.0,0.0,1.8333333333333333,4,1,0,1,0,1
sample_3,9.25,0.8333333333333333,72.06299999999999,68.031,-0.4780891485530972,0.4780891485530972,0.3271981122452583,2.0,2.2,3.204805417886435,0.174620426250861,0.174620426250861,9.65148445440323,3.21,5.106527394840706,0.0,6.076020106833881,0.0,5.969305287951849,0.0,0.0,37.3,0.0,7.604166666666666,0.0,-0.9814814814814812,0.0,0.8333333333333333,5,2,0,1,1,2
sample_4,5.0679012345679,0.5555555555555557,76.526,71.486,-0.1222196476655847,0.1222196476655847,0.0401064912180814,2.0,2.25,2.2968352619191394,0.1091089451179961,0.3273268353539885,6.854752972273345,2.0300000000000016,0.0,0.0,5.880003444970339,0.0,11.600939890232516,5.880003444970339,0.0,0.0,0.0,0.0,0.0,0.5555555555555557,0.0,1.6404320987654322,4,0,0,0,0,1
sample_5,3.361111111111111,1.75,42.081,36.033,-0.1033612507472694,0.1033612507472694,0.0472598095819833,2.0,2.0,2.1874960973678963,0.0,0.0,2.754887502163468,1.739999999999997,0.0,6.923737199690624,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,1.75,3,0,0,0,0,0
sample_6,5.1913580246913575,0.6172839506172845,110.971,106.939,-0.0917115577758554,0.0917115577758554,0.0262348947737568,1.8,2.0,3.1431973062780685,0.1503482500601123,0.6984805798330338,9.65148445440323,4.320000000000001,0.0,6.923737199690624,10.56748828099181,0.0,23.20187978046503,0.0,6.923737199690624,0.0,5.535201928878213,0.6172839506172845,1.3209876543209875,0.0,0.0,0.0,5,0,0,0,0,2
sample_7,7.756944444444445,0.0833333333333334,58.08,52.032,-0.3923178086285883,0.3923178086285883,0.060931221181301,2.0,2.25,2.2968352619191394,0.1290994448735805,0.1290994448735805,6.854752972273345,1.7000000000000013,5.106527394840706,0.0,0.0,6.606881964512918,0.0,6.606881964512918,0.0,20.23,6.076020106833881,7.756944444444445,0.0,0.0,0.0,1.4305555555555556,4,1,0,1,1,1
sample_8,4.305555555555555,1.375,58.080000000000005,52.032,-0.5049852753938333,0.5049852753938333,0.0765680447547852,2.0,2.25,2.2968352619191386,0.1666666666666666,0.1666666666666666,6.854752972273345,1.54,4.736862953800049,0.0,0.0,13.371877989698325,0.0,7.109797541277533,0.0,9.23,6.26208044842079,0.0,0.0,0.0,0.0,1.375,4,1,0,1,0,1
sample_9,9.17361111111111,0.6388888888888888,58.08,52.032,-0.3034142326161929,0.3034142326161929,0.1192149442880172,2.0,2.25,2.2968352619191386,0.1666666666666666,0.1666666666666666,6.854752972273345,1.6699999999999997,4.794537184071822,0.0,6.4208216229260096,0.0,6.286160523129555,0.0,13.344558822616634,17.07,0.0,0.0,0.0,0.0,0.0,1.5138888888888888,4,1,0,1,0,1
sample_10,9.256944444444445,0.1111111111111109,73.071,68.031,-0.5501828650303152,0.5501828650303152,0.041108964454662,2.0,2.2,2.847378923087672,0.2886751345948129,0.2886751345948129,9.65148445440323,3.469999999999999,9.901064578912528,6.4208216229260096,5.969305287951849,0.0,5.969305287951849,0.0,13.344558822616634,40.13,6.923737199690624,9.256944444444445,0.0,-0.99537037037037,0.0,0.1111111111111109,5,2,0,2,0,2
