,MaxAbsEStateIndex,MinAbsEStateIndex,MolWt,MaxPartialCharge,MinPartialCharge,FpDensityMorgan3,Chi1,Chi1n,Chi1v,Chi3n,Chi3v,Chi4n,Kappa1,Kappa2,SMR_VSA1,SMR_VSA4,SMR_VSA5,TPSA,EState_VSA3,EState_VSA5,EState_VSA7,EState_VSA9,VSA_EState2,VSA_EState4,VSA_EState8,HeavyAtomCount,NHOHCount,NumHDonors,NumRotatableBonds,RingCount,MolLogP,MolMR
sample_1,7.506944444444445,1.1805555555555556,53.06399999999999,0.0905313753738046,-0.1931212607867276,2.25,1.914213562373095,0.9205302228086548,0.9205302228086548,0.0912870929175276,0.0912870929175276,0.0,3.2299999999999995,2.23,0.0,0.0,0.0,23.79,0.0,6.076020106833881,0.0,5.261891554738487,0.0,0.0,3.118055555555556,4,0,0,0,0,0.6959799999999999,15.81
sample_2,9.055555555555555,0.6388888888888888,56.064,0.1417458219422101,-0.2985870897392271,2.0,1.914213562373095,0.9772838841927124,0.9772838841927124,0.0962250448649376,0.0962250448649376,0.0,3.4100000000000006,2.4100000000000006,4.794537184071822,0.0,0.0,17.07,6.286160523129555,6.076020106833881,0.0,4.794537184071822,9.055555555555555,0.0,3.111111111111111,4,0,0,1,0,0.3712999999999999,16.261
sample_3,9.25,0.8333333333333333,72.06299999999999,0.3271981122452583,-0.4780891485530972,2.2,2.270055610029662,1.1246543680405865,1.1246543680405865,0.174620426250861,0.174620426250861,0.0,4.21,1.5215264797507788,9.901064578912528,0.0,0.0,37.3,0.0,0.0,0.0,5.106527394840706,9.25,0.0,2.960648148148148,5,1,1,1,0,0.2569999999999999,17.8328
sample_4,5.0679012345679,0.5555555555555557,76.526,0.0401064912180814,-0.1222196476655847,2.25,1.914213562373095,1.0837578228401503,1.6182803066649991,0.1091089451179961,0.3273268353539885,0.0,4.030000000000002,3.0300000000000016,0.0,0.0,0.0,0.0,5.880003444970339,0.0,0.0,11.600939890232516,0.0,0.0,3.3472222222222223,4,0,0,1,0,1.4112,20.916999999999994
sample_5,3.361111111111111,1.75,42.081,-0.0472598095819833,-0.1033612507472694,2.0,1.4142135623730951,0.9855985596534887,0.9855985596534887,0.0,0.0,0.0,2.7400000000000007,1.740000000000001,0.0,0.0,6.923737199690624,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,5.25,3,0,0,0,0,1.1923,15.871000000000002
sample_6,5.1913580246913575,0.6172839506172845,110.971,0.0262348947737568,-0.0917115577758554,2.0,2.270055610029662,1.1958752613354189,2.0102755148166307,0.1503482500601123,0.6984805798330338,0.0,5.32,2.5514814814814817,0.0,0.0,6.923737199690624,0.0,5.032286352113597,5.535201928878213,0.0,23.20187978046503,0.0,1.3209876543209875,1.716820987654321,5,0,0,0,0,2.3253000000000004,25.462999999999997
sample_7,7.756944444444445,0.0833333333333334,58.08,0.060931221181301,-0.3923178086285883,2.25,1.914213562373095,1.1327243469445638,1.1327243469445638,0.1290994448735805,0.1290994448735805,0.0,3.7,2.700000000000001,5.106527394840706,0.0,0.0,20.23,0.0,6.076020106833881,0.0,5.106527394840706,0.0,0.0,3.3125,4,1,1,1,0,0.1647,17.2828
sample_8,4.305555555555555,1.375,58.080000000000005,0.0765680447547852,-0.5049852753938333,2.25,1.914213562373095,1.052198841323242,1.052198841323242,0.1666666666666666,0.1666666666666666,0.0,3.54,2.54,4.736862953800049,0.0,0.0,9.23,0.0,6.26208044842079,0.0,0.0,0.0,0.0,3.2569444444444446,4,0,0,1,0,0.7763,17.206
sample_9,9.17361111111111,0.6388888888888888,58.08,0.1192149442880172,-0.3034142326161929,2.25,1.914213562373095,1.3510573320459265,1.3510573320459265,0.1666666666666666,0.1666666666666666,0.0,3.67,2.67,4.794537184071822,0.0,13.344558822616634,17.07,6.4208216229260096,0.0,6.923737199690624,0.0,9.17361111111111,0.0,1.8125,4,0,0,1,0,0.5952999999999999,16.355
sample_10,9.256944444444445,0.1111111111111109,73.071,0.041108964454662,-0.5501828650303152,2.2,2.270055610029662,1.4689084622436843,1.4689084622436843,0.2886751345948129,0.2886751345948129,0.0,4.469999999999999,1.7581844380403455,9.901064578912528,0.0,13.344558822616634,40.13,0.0,6.923737199690624,0.0,0.0,9.256944444444445,0.0,1.537037037037037,5,0,0,1,0,-0.8537000000000001,15.298000000000002
