,MaxEStateIndex,NumAromaticCarbocycles,ExactMolWt,HeavyAtomCount,MolWt,Chi0,Chi3n,MaxAbsPartialCharge,LabuteASA,Chi0n,NumValenceElectrons,Chi0v,Chi3v,MinAbsPartialCharge,Chi1n,Chi1,MolMR,NumHDonors,Chi1v,NOCount,Chi2n,VSA_EState10
MinEStateIndex,0.6757669224617168,0.04013332393811535,0.44815808805765134,0.43833157994756455,0.446957803526418,0.4833537657040397,0.22773237984545303,0.45685857046556816,0.4019526521941799,0.36833865649715747,0.46937547328354223,0.39017401210757,0.3413502094828079,0.6462202690140387,0.296792553009376,0.4085924253957593,0.322606682016173,0.450694601855125,0.3951616145733834,0.649196672715238,0.2787961230493353,0.01939417841256046
MaxAbsEStateIndex,1.0,0.10470935650058091,0.3808806011415927,0.4771353648909684,0.3784712184215137,0.51196498956066,0.3787519251878612,0.6969996790636315,0.4082734661126043,0.4664310861833064,0.5064284701566086,0.3902180832195463,0.3169449700654317,0.7531962483220646,0.42150745323417843,0.4579814460464839,0.3432052637241216,0.42457997671728015,0.36614854113488465,0.6449730702016371,0.41602870241625783,0.16584198069820538
MinAbsEStateIndex,0.7269395991968569,0.09938768347007824,0.32615108046848834,0.3496651778780525,0.32557870805095523,0.38206822247759176,0.2565545778089109,0.539197853417938,0.33472990445671746,0.3336795711822781,0.37700319334578203,0.3293950176212885,0.2556958673045852,0.5462844866320573,0.29026143139702415,0.3316295772540675,0.2784014246526181,0.30009183189404565,0.29139368758826023,0.4581024370344511,0.2964361337116101,0.08216722527646382
qed,0.3742595069736683,0.2021971913362985,0.31354406519204914,0.37083818364799853,0.3122542700732642,0.3627593396573319,0.27449140989515725,0.340936466976565,0.34635269663002366,0.372076878628434,0.3537185358025259,0.3442565899670642,0.2340713018259793,0.2938321562952818,0.343041200659159,0.3729579060552515,0.36008960527015843,0.06300285131395245,0.32869454361353995,0.23070799287399735,0.3140885619813557,0.10021759754009112
HeavyAtomMolWt,0.3637860447353806,0.3784710452841828,0.9972522027463209,0.8873606301228328,0.9975713939219538,0.8967373106879932,0.6908653280019221,0.11579442238285169,0.949110209948936,0.8046891249197003,0.8838907735259256,0.9393081050753477,0.8285007172859856,0.29494661948944645,0.768287666415275,0.8768983584869661,0.9131869929329097,0.2603818680514788,0.8958490840806451,0.46187261939887575,0.730398214105552,0.4301088119677752
MaxPartialCharge,0.7692468013624963,0.0910576533740102,0.32435219998170767,0.36628449754191045,0.3225080217437455,0.40178924990445325,0.15633347443262288,0.6692330110457327,0.3093043216751758,0.3199644151118086,0.3857915918906969,0.2855232697549464,0.1611558570322295,0.977919739102654,0.2475583735862875,0.3488833885246424,0.2392319727890952,0.3343683998160926,0.2470865090660875,0.6824278589656517,0.20575607719186204,0.10360563563084083
MinPartialCharge,0.6775906090784175,0.14504961014437237,0.12047727697598967,0.2600853196563844,0.11719286862998525,0.27802244118585967,0.194278486235393,0.9889255170010278,0.16922957528955254,0.2836189928208751,0.2846468097532358,0.15470753731071066,0.09172485017000319,0.6396792916863314,0.24911140878595256,0.25394830847905453,0.1404052459486713,0.4565306036016034,0.1437987886753215,0.5633055245560944,0.22873281734517348,0.3600409479539829
FpDensityMorgan1,0.28195889408660796,0.5447979672963059,0.3590632871485929,0.3425602820388766,0.36029549503768615,0.3127131028998993,0.258388707153334,0.33667693862957143,0.3880093685184145,0.2938744822090532,0.3019542802681506,0.3608218668743881,0.3153140942825002,0.3195073323971032,0.32055776783175605,0.35645649425552384,0.42086998281684573,0.10651858764115743,0.3556435486988837,0.17436950768280127,0.27181731725635094,0.315592009330591
FpDensityMorgan2,0.3385758205003696,0.40219755876070257,0.20690382931676887,0.12989684379239663,0.20890544392279764,0.12089479466071888,0.05605812018991456,0.39402971956231636,0.19400257346999322,0.08842225941841293,0.10899804798017088,0.18357817141920071,0.143475165766085,0.35289471823624957,0.10160917203116802,0.13390120371974926,0.21352227173120275,0.13667965063076143,0.16847875571582321,0.26147927567005286,0.0730896255942779,0.3473906979777241
FpDensityMorgan3,0.3899546804030109,0.128944763273376,0.06639059269220367,0.18935400173643566,0.06391396880605685,0.17556900819943672,0.21790243217054428,0.4097982239515441,0.11805664860040266,0.20575874904989233,0.18265152253244035,0.10530606491640337,0.11685718170975953,0.39074597062289007,0.20385099869121823,0.19524787054771933,0.11394486006805653,0.17830106218644784,0.1236536989187242,0.35635327049395316,0.2030121349786769,0.2975074847989004
BalabanJ,0.04987767735992759,0.210195802224463,0.3808647067611702,0.47600513832882935,0.3793249579998785,0.42825645179321464,0.591120686089332,0.011402981001321835,0.4523772378549572,0.4905176201544314,0.4579125016548847,0.43500436374500595,0.4655804567195701,0.07123868059575801,0.5573436657650769,0.496696671415762,0.4720752094432956,0.09668168469662201,0.4845199220465603,0.13025389155728406,0.5539178950341005,0.09937651361664936
BertzCT,0.3554176394805736,0.6151448120738126,0.827493144532484,0.9118174352539553,0.826031715645392,0.8877613139151528,0.7305767802229834,0.1597867784606685,0.8841106076910664,0.8289202219583824,0.8572332613739094,0.8323065010285028,0.7242486498614066,0.2794388590888436,0.8009044119113805,0.9150022960932939,0.8851225969651776,0.2747631241943292,0.8057701016656622,0.507960196200272,0.7614875457648991,0.13122366104111055
Chi2v,0.33840137880402044,0.21493583591293328,0.8918877367011815,0.866829852388289,0.8912010929253886,0.8719535663154417,0.8411138569338966,0.10972235468109642,0.9061910365783269,0.8675028546168538,0.8881350937544106,0.9380403886195805,0.957619130383922,0.1954477444244287,0.861511574001229,0.8554712639424041,0.8996700424118265,0.21118563259209797,0.961406238579949,0.37578677649135733,0.8703140462849934,0.24926789520688328
Chi4n,0.3478422853314531,0.16185432601126695,0.6933393822089453,0.8184502767440008,0.6911137888932463,0.798091751750733,0.9910683483769267,0.1685040896408391,0.7911311924699246,0.8579960473185568,0.8247092837074768,0.7936407094023218,0.8682938924928895,0.13829934698311847,0.904859715810087,0.8183800573884453,0.7913410873154992,0.25089814030261565,0.8188777817996209,0.34266365884592853,0.9546759523000513,0.04415912216768908
Chi4v,0.3089171439207415,0.17647274755756343,0.7929798979798637,0.8129210116580897,0.7917735033657377,0.8028606414890933,0.8913635907773785,0.10789534938236643,0.8339514351008799,0.8218660280675971,0.8261988579546027,0.8554899641913247,0.9807525146073178,0.1449802141870187,0.8468056622261083,0.8083934051836532,0.8314959797252446,0.19013565040480668,0.9063097362096204,0.31853776250449767,0.8704571082796735,0.1698317055052557
HallKierAlpha,0.41016920627771764,0.5123174028322335,0.27753988453456735,0.5609331678981418,0.27340389362772755,0.5275105765506712,0.37470445734146035,0.3911858844656254,0.4128418848548964,0.5201946885705756,0.487143162089616,0.32806555979501034,0.15592186292383473,0.4344410966863303,0.4867204719498316,0.5773375544797476,0.4379916903923271,0.33072288470438665,0.303036898979997,0.585981009304385,0.4177116888082845,0.45791164071992463
Ipc,0.033174663654672726,0.02460632510024749,0.14226036732672473,0.15505530531620626,0.1418108339350664,0.15988796893686416,0.09902520414821557,0.028751465882652993,0.14801610845498808,0.15121632348896005,0.16667643683394018,0.1406744191578911,0.08220606519266731,0.035680778436001516,0.1472321832089809,0.1539994679680197,0.1371605438629481,0.16060804364172945,0.13315197890271807,0.15373136309655672,0.12896301397838997,0.012851900012457805
Kappa1,0.4995556614093051,0.2301763030186042,0.9206059226618816,0.9385199963640227,0.9193894218194117,0.9620411644287531,0.7719814736487203,0.26750593186655564,0.9534209791493338,0.9329410838605636,0.9683236910209351,0.9651408999151511,0.8226980668028622,0.3891775788740859,0.8952790635677819,0.9273238447816712,0.9317086140315838,0.33967931149883795,0.9384024582358119,0.5634704864345763,0.8430948547155088,0.20906951389009534
Kappa2,0.31335428594938575,0.06295006203021757,0.6260880400667591,0.6274376640774688,0.6250242772652315,0.6538738755369893,0.4549230729143231,0.19381691764668846,0.6557528205150509,0.679033460298102,0.6839171209241223,0.6974807361400016,0.5154276332057128,0.2646388805733448,0.664007480775929,0.6315584359193275,0.669683694181995,0.15181252243262655,0.7032837904603112,0.3303444155585184,0.5368466963608252,0.10850726365733587
Kappa3,0.05037786675972224,0.04662357021314733,0.03632102075955582,0.04225631680165009,0.03625439693598359,0.03735934344008658,0.03928492268824892,0.0033656286577769434,0.03884556309859101,0.02855640082214535,0.033967480805767176,0.02862389366747992,0.038101257126554454,0.03322451151651089,0.03341071273973102,0.04434729086272236,0.03717715589216779,0.025441412075087825,0.03188841831830124,0.02036365309113277,0.02615012247431872,0.006577967100338598
PEOE_VSA1,0.45393207467028296,0.03701938250084933,0.4068799751722095,0.495929223531454,0.40415064230934233,0.5171342209624635,0.3684376868139238,0.5901569254554563,0.4306582322701357,0.485840578454214,0.5305071711444521,0.40685254554209793,0.29406911943387654,0.46059837188588076,0.44578469165233897,0.48765255291672605,0.3850379483786843,0.753229360245871,0.3790382409030444,0.7258288810401321,0.41570875033028465,0.19658655035551545
PEOE_VSA10,0.33119821729150783,0.03947267728485262,0.3759131002100041,0.4147439185994172,0.3746320862901815,0.4222751378217132,0.3075691037021591,0.3105576876914534,0.3788529644198486,0.36409081451466035,0.4181437279201671,0.34083509555588354,0.26762703366035473,0.22123177637744804,0.3374082068895919,0.4087348882954046,0.3229717227945156,0.45620008357167185,0.30976414682856057,0.5111701473428246,0.3275595899591721,0.018901369887403176
PEOE_VSA14,0.450960256471745,0.08602016850799549,0.17496272497684387,0.22109859882734206,0.17335095636748454,0.2515424166580057,0.09141305003119868,0.42987009347752914,0.16895389731035718,0.2064298313046396,0.24256112238076163,0.15424462198355515,0.04503138192840534,0.7222855416539977,0.16099512469020352,0.20824513255204252,0.11677515723537824,0.2013998077821884,0.11942546646582607,0.44893648414267373,0.12987573230881824,0.14607080164965036
PEOE_VSA2,0.49439405933280633,0.13197383847222868,0.2830861006040906,0.371359815790105,0.28108086325346093,0.38956330974600156,0.35275554919205926,0.25450149916349935,0.309147785852838,0.3588264597709992,0.3787992487729736,0.28868704182587107,0.26940236212389695,0.40441302928209266,0.3376950959360643,0.35894401583469127,0.261568045489167,0.28839537970061524,0.27201817289932545,0.5579087753495776,0.3488928354910357,0.15958726209602375
PEOE_VSA3,0.301696592863335,0.010901229231747224,0.16120412302473414,0.19781109516787196,0.1599276033048976,0.20388484192675876,0.002411950025337144,0.1844124694434952,0.145195341957354,0.1391098706512031,0.184426774105023,0.1226417731861322,0.04987626351595967,0.41765570483879283,0.08559842407768843,0.1920888539995541,0.11567374624277228,0.22440835143699409,0.13356869619987013,0.48258048002517406,0.04507704467723812,0.11906977595204976
PEOE_VSA6,0.2588968296394155,0.5001045309226976,0.35197247171842033,0.2766725345179676,0.35463295616295104,0.2604679572865798,0.21539441925637334,0.43541343211110123,0.3733205603103211,0.25299981665773996,0.2521227156849158,0.37124557243333023,0.29957693784083944,0.3013502672782842,0.28461614389865186,0.28843955089140827,0.4152504610948796,0.29144827563647563,0.3516324712581546,0.3933799119111654,0.23636529331832942,0.5046975257346925
PEOE_VSA7,0.19045372856754733,0.2849191799839817,0.5846841529285571,0.640724186394479,0.582524318651625,0.6207015474739129,0.7525017755813536,0.1360920864337766,0.6383180594143396,0.6943709707579806,0.6346673723888362,0.666557256457906,0.6961916208805026,0.03435828118321943,0.7184198183950282,0.6420401825861158,0.683564995048146,0.11479786515742604,0.6868617945777158,0.13230565771241695,0.7489874698617742,0.08902466979865202
PEOE_VSA8,0.24899201679896876,0.08615083818554946,0.4406707982206531,0.45363450744973943,0.4402762077558744,0.45045657048830373,0.35372004406914503,0.13054787327741074,0.46309676133020516,0.4405158801391086,0.4532979843708205,0.46560188696847826,0.38809958663292005,0.17704356753656356,0.4132453310281563,0.4544320222775767,0.46097423534512627,0.01201688141581762,0.44810204587448144,0.29121877772263793,0.3825953507108231,0.1329331187773226
PEOE_VSA9,0.2431677059069209,0.17423852962235387,0.5358447074896466,0.4598590710307255,0.5369913422493295,0.47510631327990466,0.26191813117184676,0.17444738287849018,0.5033550532454495,0.37501280969290773,0.46087284770198556,0.4796087808259872,0.40361924470843363,0.2449417335468688,0.3294134375716732,0.45172563720069975,0.4481301249270673,0.1367971258213692,0.4285264403576269,0.3415122498877677,0.2885808352177511,0.422545664603802
SMR_VSA1,0.6972808482228058,0.07516777425834018,0.49333750901001644,0.5872400128995161,0.49034486151171536,0.6236261020748395,0.48009895833234595,0.5966314445565509,0.5064074596367842,0.5662997849067816,0.6264604636346089,0.4822593393229167,0.40583263171991907,0.6304246515878517,0.5213780336107631,0.5668871406782263,0.4224365409104173,0.6371187038466981,0.464834806244342,0.78587181641123,0.5143140903403484,0.2188321790005337
SMR_VSA10,0.05769135949168796,0.31205133679830677,0.5861877766979948,0.29040268859315627,0.5905538338627507,0.3057134431873271,0.06940597901744963,0.26227627746910237,0.4441934419305559,0.14416038978672485,0.2716814265285323,0.4349592409831164,0.39188023817056805,0.017933260195828762,0.10181497883160655,0.27621267387124027,0.40144709245481225,0.10762105869437713,0.37695633901669695,0.02315535535968509,0.07722899905595987,0.8524489147299589
SMR_VSA3,0.11070901700238636,0.11801704066862236,0.14635722222347455,0.2038057361829466,0.14503431132106373,0.192736990645742,0.06951731998869393,0.1262731867508321,0.16089748580106625,0.1750095107727928,0.18850314485750844,0.14348789858940203,0.06333595810549254,0.240936829752583,0.14113343423037067,0.20899738862876982,0.1500691614305237,0.2354454311477539,0.13351368412495362,0.48060226662712735,0.10195914374032107,0.10341794443552178
SMR_VSA4,0.31821376287582964,0.2470259068326079,0.37659267817729447,0.45079695638704365,0.37495873448734013,0.45825411504643787,0.747293684662523,0.15731351002840413,0.4333878500690598,0.5245153919399558,0.4935159119248153,0.4653723205086578,0.6313739210162599,0.13112166713428805,0.5691988754285701,0.4343322564967637,0.4088927942281206,0.26134576929249964,0.49227811007695976,0.24137635621907114,0.6951853908599482,0.08695160929125072
SMR_VSA5,0.28082204519785,0.38401699600076444,0.28796903890428244,0.3920600132400585,0.28552894198085604,0.41586564650108043,0.6268774092256243,0.1746218636811149,0.37146334022164024,0.556266140364261,0.48280523838841,0.45286712436745774,0.5033238555007081,0.07290484741063404,0.6066251799450217,0.3821132551123113,0.3801890009496043,0.19858369724973826,0.5046644775804802,0.18538227271213847,0.6481718589116707,0.23561918735011958
SMR_VSA6,0.16864324151472293,0.002358363435587751,0.27880546466249495,0.31836066362359433,0.2772361308930276,0.3229738507965764,0.16713952657885445,0.2801733902863081,0.30338044154038146,0.35273092132432005,0.34745712833544284,0.3303268708316491,0.21532917769366056,0.22784618607970458,0.3078567800225073,0.3265375742713735,0.31841029149600014,0.06759201019961082,0.3357223316542034,0.3756326644395689,0.21790056157265517,0.09468848739796781
SMR_VSA7,0.0069095523120004075,0.8741970306479571,0.42918987882950915,0.4945904295471514,0.42914360156090464,0.4467004630753885,0.24602976558211062,0.09260232367503465,0.48135317956562346,0.3737100707439124,0.3877686150615844,0.39307001507422196,0.24297533976829905,0.0036450849441035287,0.35180233288876284,0.5155625086796922,0.5209806485688155,0.048583842069454396,0.34814137246722293,0.04449091150782249,0.27200896718867174,0.16881065390658864
