,t1 (mean),t2 (mean)
sample_1,-0.3372638741451982,-0.18623459596817615
sample_2,-0.5014314161757443,0.04482735237068427
sample_3,-0.9510091611046195,0.0628039982288151
sample_4,-0.2648685677151121,-0.15368663923054027
sample_5,-0.12032032584818926,-0.22168735971412262
sample_6,-0.272517497316671,-0.07848263557727643
sample_7,-0.5937665040272394,-0.3526872675025894
sample_8,-0.4362504970463292,-0.11034553604594612
sample_9,-0.5568102149326524,0.05161195553208682
sample_10,-0.953006630967034,0.08394884682857898
sample_11,-0.953006630967034,0.08394884682857898
sample_12,-0.9561531138453331,0.030617082710366398
sample_13,-0.1217992901513148,-0.08605378747697452
sample_14,-0.2530966896066795,-0.17484621809573966
sample_15,-0.2397125407006291,-0.16398561406015164
sample_16,-0.3728563727927063,-0.5001442667050798
sample_17,-0.10893950078997601,-0.1832126204974809
sample_18,-0.4581872420260283,-0.21664565642925643
sample_19,-0.545114214572654,-0.4274756852364105
sample_20,-0.8677690784752864,-0.1715848477609903
sample_21,-0.864374416573686,-0.7387130481496627
sample_22,-0.36620673443511703,-0.5334262126906674
sample_23,-0.36670102638782126,-0.5097506739908961
sample_24,-0.2634791444383193,-0.4228328719219799
sample_25,-0.022600146573904564,-0.28773298458639346
sample_26,-0.3018145640707272,-0.1612594580642927
sample_27,-0.5189090207712741,0.1434728340271174
sample_28,-0.9118158383785484,0.21242077597203002
sample_29,-0.8792023018124894,0.20898715055567144
sample_30,-0.4020654713983263,-0.13546248196955857
sample_31,-0.10838859688314906,-0.1878234913586132
sample_32,-0.017862406324113823,-0.2535404452536862
sample_33,-0.017862406324113823,-0.2535404452536862
sample_34,-0.07235798048102443,-0.23379670319212442
sample_35,-0.5408506614510487,0.12007800277813849
sample_36,-0.5522008325540534,0.11172374432860235
sample_37,-0.6030577505904461,0.11807861490584713
sample_38,-0.3770323284107676,-0.35743432495560823
sample_39,-0.9407206454666569,0.09245651248854324
sample_40,-0.9149878185322087,0.2078445136277699
sample_41,-0.9425665830446478,0.11263574865908658
sample_42,-0.9155325994328809,0.21167182147226055
sample_43,-0.8624589963800929,0.19212183829373827
sample_44,-0.025108082984374436,0.05655498089959675
sample_45,-0.17883283501297592,-0.04383903602223052
sample_46,-0.04218077977047659,-0.13695562411269127
sample_47,-0.049764475074247985,-0.1441847609432636
sample_48,-0.5529847148673298,-0.46825506485089946
sample_49,-0.6342635201784681,-0.40384292671956507
sample_50,-0.5139740263159682,-0.6517210921010562
sample_51,-0.4525377249159704,-0.2587038422421362
sample_52,-0.5311687239479917,-0.4547513550862476
sample_53,-0.8844725167683494,-0.8569732932738202
sample_54,-0.32655510157341994,-0.6411701030745759
sample_55,-0.3059867038132007,-0.5289677063468521
sample_56,-0.3208868152410313,-0.5870118782055056
sample_57,0.0865612313688984,-0.8598122225947723
sample_58,0.07385382099181494,-0.2601760151131914
sample_59,-0.008340617338973445,-0.27226681567849986
sample_60,-0.757333576585369,0.3454596061760644
sample_61,-0.858464469825606,0.252603193870844
sample_62,-0.8917793150955091,0.2744938445529835
sample_63,0.13856677381721,-0.08270811067064686
sample_64,-0.04419838193316649,-0.13864423289860328
sample_65,-0.4606515108472377,0.24271380175913487
sample_66,-0.5343061479194215,0.2104550571490581
sample_67,-0.4367783535134701,0.23009647920723397
sample_68,-0.8673572267056775,0.27458973917916746
sample_69,-0.7377363977967922,0.2745801387619419
sample_70,-0.9095410194159558,0.20248233842690086
sample_71,-0.9162689559386311,0.15780545195163456
sample_72,-0.03671332216823409,0.13508181729245214
sample_73,0.010998000230018916,-0.0628528697672459
sample_74,0.02487887799934818,-0.06459906358845938
sample_75,0.05012008720208262,-0.045859544909155156
sample_76,-0.5417467040796823,-0.49257071622265897
sample_77,-0.5661840513842392,-0.5239312613038403
sample_78,-0.4854546902231088,-0.5748653844011747
sample_79,-0.5024535931353588,-0.6202764950310822
sample_80,-0.5030640481826508,-0.6191216516560024
sample_81,-0.5945880457654933,-0.5054659570559775
sample_82,-0.5172838496038169,-0.6443400068707299
sample_83,-0.9065844444964208,-0.9002788538596931
sample_84,-0.8932023104687821,-0.927205959634891
sample_85,0.23178955163640355,-0.8456367323122457
sample_86,0.2964723997490896,-0.7049186987902283
sample_87,0.18747220568092438,-0.8325811703453517
sample_88,0.22597606191325223,-0.6140375653993254
sample_89,-0.050782715494871705,-0.9428558828191488
sample_90,-0.6480322630534808,-0.9122267977335954
sample_91,0.11039649911909256,-0.9502307051596823
sample_92,0.12141319907490566,-0.8743602227010443
sample_93,-0.32206206716122715,-0.8538597768604339
sample_94,0.19467643024767575,-0.19609385526798082
sample_95,-0.30660019333381455,0.38967557782864026
sample_96,-0.468856252044443,0.3167838843208832
sample_97,0.2417868641872536,-0.00404781436277212
sample_98,0.07555035153903322,-0.0966038562540254
sample_99,0.18556853354361583,-0.1765656059132938
sample_100,0.10790937259497889,-0.09257589192253685
sample_101,0.04926374286074095,-0.02585728074689401
sample_102,0.09804127832882426,-0.08928541644398157
sample_103,0.09804127832882426,-0.08928541644398157
sample_104,0.17934202118576298,-0.008084790646996675
sample_105,0.08222603057712292,-0.09377503458212785
sample_106,0.050775783265205834,-0.07015263443735491
sample_107,-0.3212448383907913,0.23481557702143066
sample_108,-0.40774188543129286,-0.8627385966548717
sample_109,-0.38408687653688434,0.3595922421622981
sample_110,-0.3979610635583027,0.3476544484669807
sample_111,-0.7028105457371413,0.37587022134547976
sample_112,-0.8379157238039604,0.25928040154569243
sample_113,-0.8353783660565628,0.2340379056953825
sample_114,-0.6600673956964468,0.37331200271805237
sample_115,-0.22687782701803363,-0.899084377792667
sample_116,0.10174276705610064,0.032063448299727286
sample_117,0.15083643312768802,0.0009758615956434758
sample_118,0.15643772432654468,0.047574107979278024
sample_119,0.11200344395116443,0.030209340607756433
sample_120,0.12831451099625965,0.028466611110157802
sample_121,-0.24196370503945827,0.29057671089648435
sample_122,-0.1817217342934382,0.27366933459959014
