,cluster numbers
sample_1,390
sample_2,390
sample_3,690
sample_4,120
sample_5,150
sample_6,120
sample_7,570
sample_8,390
sample_9,570
sample_10,720
sample_11,720
sample_12,690
sample_13,3
sample_14,120
sample_15,120
sample_16,390
sample_17,120
sample_18,390
sample_19,570
sample_20,600
sample_21,690
sample_22,390
sample_23,390
sample_24,120
sample_25,123
sample_26,390
sample_27,570
sample_28,782
sample_29,782
sample_30,390
sample_31,123
sample_32,123
sample_33,123
sample_34,123
sample_35,600
sample_36,690
sample_37,690
sample_38,120
sample_39,720
sample_40,782
sample_41,782
sample_42,782
sample_43,782
sample_44,3
sample_45,3
sample_46,3
sample_47,3
sample_48,570
sample_49,600
sample_50,570
sample_51,120
sample_52,570
sample_53,720
sample_54,390
sample_55,120
sample_56,390
sample_57,366
sample_58,96
sample_59,123
sample_60,844
sample_61,782
sample_62,782
sample_63,7
sample_64,123
sample_65,690
sample_66,690
sample_67,690
sample_68,782
sample_69,782
sample_70,782
sample_71,782
sample_72,3
sample_73,5
sample_74,5
sample_75,7
sample_76,600
sample_77,690
sample_78,600
sample_79,690
sample_80,690
sample_81,690
sample_82,690
sample_83,782
sample_84,782
sample_85,428
sample_86,279
sample_87,366
sample_88,248
sample_89,546
sample_90,634
sample_91,427
sample_92,366
sample_93,663
sample_94,96
sample_95,663
sample_96,663
sample_97,10
sample_98,96
sample_99,96
sample_100,96
sample_101,7
sample_102,7
sample_103,7
sample_104,7
sample_105,96
sample_106,96
sample_107,600
sample_108,662
sample_109,782
sample_110,782
sample_111,844
sample_112,844
sample_113,844
sample_114,844
sample_115,96
sample_116,7
sample_117,7
sample_118,7
sample_119,7
sample_120,7
sample_121,663
sample_122,3
sample_123,782
sample_124,7
sample_125,7
sample_126,577
sample_127,696
sample_128,248
sample_129,546
sample_130,546
sample_131,546
sample_132,428
sample_133,428
sample_134,844
sample_135,844
sample_136,11
sample_137,10
sample_138,11
sample_139,10
sample_140,10
sample_141,279
sample_142,577
sample_143,279
sample_144,251
sample_145,251
sample_146,577
sample_147,428
sample_148,13
sample_149,13
sample_150,13
sample_151,13
sample_152,13
sample_153,13
sample_154,13
sample_155,13
sample_156,11
sample_157,11
sample_158,876
sample_159,11
sample_160,13
sample_161,13
sample_162,11
sample_163,11
sample_164,11
sample_165,11
sample_166,844
sample_167,431
sample_168,251
sample_169,729
sample_170,251
sample_171,251
sample_172,251
sample_173,251
sample_174,251
sample_175,251
sample_176,251
sample_177,729
sample_178,13
sample_179,16
sample_180,16
sample_181,13
sample_182,884
sample_183,253
sample_184,253
sample_185,253
sample_186,253
sample_187,253
sample_188,253
sample_189,253
sample_190,16
sample_191,16
sample_192,881
sample_193,464
sample_194,464
sample_195,884
sample_196,256
sample_197,21
sample_198,21
sample_199,21
sample_200,377
sample_201,675
sample_202,377
sample_203,25
sample_204,25
sample_205,890
sample_206,119
sample_207,899
sample_208,119
sample_209,389
sample_210,899
sample_211,119
sample_212,899
sample_213,662
sample_214,0
sample_215,0
sample_216,690
sample_217,390
sample_218,0
sample_219,3
sample_220,3
sample_221,390
sample_222,720
sample_223,690
sample_224,390
sample_225,390
sample_226,390
sample_227,123
sample_228,96
sample_229,123
sample_230,3
sample_231,690
sample_232,782
sample_233,782
sample_234,782
sample_235,96
sample_236,690
sample_237,16
sample_238,570
sample_239,570
sample_240,570
sample_241,123
sample_242,366
sample_243,96
sample_244,96
sample_245,96
sample_246,96
sample_247,96
sample_248,96
sample_249,96
sample_250,96
sample_251,690
sample_252,782
sample_253,782
sample_254,844
sample_255,844
sample_256,844
sample_257,844
sample_258,3
sample_259,690
sample_260,690
sample_261,690
sample_262,690
sample_263,690
sample_264,662
sample_265,782
sample_266,7
sample_267,570
sample_268,570
sample_269,390
sample_270,96
sample_271,782
sample_272,782
sample_273,844
sample_274,7
sample_275,546
sample_276,428
sample_277,7
sample_278,11
sample_279,10
sample_280,251
sample_281,11
sample_282,729
sample_283,884
sample_284,253
sample_285,253
sample_286,16
sample_287,16
sample_288,256
sample_289,377
sample_290,119
sample_291,3
sample_292,3
sample_293,366
sample_294,844
