,t1 (mean),t2 (mean)
sample_1,-0.010811772928603301,-0.9999566177793925
sample_2,-0.8386881454149175,0.7532344404451159
sample_3,-0.7833097698165039,0.7943709625733082
sample_4,-0.1596686033936588,-0.9999922944712256
sample_5,0.23810543822812202,-0.9999998394058585
sample_6,-0.25382474499768864,-0.9748231527933267
sample_7,-0.9552287412988241,0.4800318598036281
sample_8,-0.16102331264205724,-0.9999035963064329
sample_9,-0.8232325462147467,0.8353824299541246
sample_10,-0.7467283485600709,0.9108942950891821
sample_11,-0.7467283485600709,0.9108942950891821
sample_12,-0.7831879570542257,0.8377820260593623
sample_13,-0.21321865736441553,-0.9996792709054878
sample_14,-0.23340496381550482,-0.9999212308479423
sample_15,-0.26983715397237096,-0.9999659763221924
sample_16,-0.9784693019508686,0.37942348702696116
sample_17,0.43845778195685514,-0.9999980224076324
sample_18,-0.3456559231976045,-0.9994707846023146
sample_19,-0.9995797678918403,0.3699484759647075
sample_20,-0.5219658324394131,-0.9354982946721263
sample_21,-0.9999997690906506,-0.034197155976497334
sample_22,-0.9998549885500512,0.30678299596315517
sample_23,-0.9999070103711365,0.2865814371701686
sample_24,-0.2551011802835138,-0.997573913855768
sample_25,0.23155230182103678,-0.9963587026230547
sample_26,-0.08075471468036988,-0.9678446767942349
sample_27,-0.7873166738012396,0.7969280086308828
sample_28,-0.6604192480132197,0.9717522522060109
sample_29,-0.6698034383591738,0.9575899308963789
sample_30,-0.2849460824933692,-0.8887173560804165
sample_31,0.2450812974253021,-0.9999792561146685
sample_32,0.24709407627969177,-0.9978203706574549
sample_33,0.24709407627969177,-0.9978203706574549
sample_34,0.2780317081935466,-0.9996215097709779
sample_35,-0.7887171466599149,0.8427962429561077
sample_36,-0.7903161581052577,0.8311522446786938
sample_37,-0.7788806050713666,0.8407909291682878
sample_38,-0.432948628056647,-0.9267528880390388
sample_39,-0.7257943817081781,0.8598291114299791
sample_40,-0.6553238593413696,0.9960962808934191
sample_41,-0.7206450432362949,0.8596442785247868
sample_42,-0.6553832276882112,0.9973234119179011
sample_43,-0.6571120935716808,0.9948810374067802
sample_44,-0.3002872676144948,-0.9631177060914828
sample_45,-0.31705375239221306,-0.9959297997918026
sample_46,0.4913294308889139,-0.9860773284572617
sample_47,0.559508976310482,-0.9917381651285868
sample_48,-0.9998565319180345,0.18259110128209122
sample_49,-0.9982132296051558,0.24647124558523603
sample_50,-0.9999407737021518,0.20679073123401767
sample_51,-0.43743422044605185,-0.9480376710865125
sample_52,-0.9998689895338304,0.18358267206661139
sample_53,-0.9999317962797001,-0.19552329592574277
sample_54,-0.9994537067393763,0.17661185549932734
sample_55,-0.45069413468482733,-0.9001367960225655
sample_56,-0.999770472907674,0.15436435529813708
sample_57,-0.10626111819713407,-0.8185408499153451
sample_58,0.36016904805954725,-0.9223275109390396
sample_59,0.2448085148926798,-0.9586787685316778
sample_60,-0.5855519180859184,0.9995702022846783
sample_61,-0.6482408269588447,0.9700228346530735
sample_62,-0.60009391700004,0.991068261623047
sample_63,0.627223131846424,-0.8615280155879079
sample_64,0.28407355523078853,-0.9824652476282598
sample_65,-0.7240044684118658,0.8660384253432466
sample_66,-0.7237717501498714,0.8595390989380124
sample_67,-0.7360404952849424,0.8786894041637242
sample_68,-0.5886771604520292,0.9990087945502473
sample_69,-0.5993145178430528,0.9909331184169172
sample_70,-0.6527817520530688,0.9371791352922761
sample_71,-0.6657127126186103,0.8955382937526147
sample_72,-0.4038826672921532,-0.9484191209469232
sample_73,0.6272838581452501,-0.9301025590264445
sample_74,0.6367166623725524,-0.9271097469975805
sample_75,0.6049277740886319,-0.9080762303761657
sample_76,-0.9976573537944189,-0.05070226667829742
sample_77,-0.9945759158880598,0.022723264850112244
sample_78,-0.9931981663675229,-0.1023519521378431
sample_79,-0.9970880846172455,-0.0266323022926793
sample_80,-0.957437440355147,-0.22373219648178544
sample_81,-0.998119976535747,0.01438955331359483
sample_82,-0.9943295844958584,-0.04342267261385889
sample_83,-0.9990026639426125,-0.3064110655747856
sample_84,-0.9888923356047122,-0.36085919342685596
sample_85,-0.33134102428671813,-0.6644230175919761
sample_86,-0.03896374262440085,-0.7149108282256017
