,t1 (mean),t2 (mean)
sample_1,-0.9999999745642587,-0.11026309593679755
sample_2,-0.999999908992632,0.07405741278672907
sample_3,-0.9995020924095475,0.5832460665259456
sample_4,-0.9996784193896129,-0.6985161733184594
sample_5,-0.9696712158131484,-0.691842033378323
sample_6,-0.977165160556386,-0.7061268086961032
sample_7,-0.9999999841304231,0.2942712829780446
sample_8,-0.9999999782498818,-0.10844608356901779
sample_9,-0.9999995691044645,0.343511985216139
sample_10,-0.9996683470833881,0.623498428618665
sample_11,-0.9996683470833881,0.623498428618665
sample_12,-0.9997922758129165,0.6187733395707802
sample_13,-0.8076297453303726,-0.982026395181542
sample_14,-0.9989632792457203,-0.7169585927507988
sample_15,-0.9983839944416099,-0.7535900697192401
sample_16,-0.9999999990680312,-0.10766328506680932
sample_17,-0.9547220677411853,-0.7625731514644054
sample_18,-0.9999990925593195,-0.19079037372686916
sample_19,-0.9999999947666574,0.2835514225148188
sample_20,-0.9999866445708848,0.421444512453644
sample_21,-0.9999963318295332,0.6039331889511691
sample_22,-0.9999988390443585,-0.11135693436910957
sample_23,-0.9999865857136682,-0.15773016321139302
sample_24,-0.9987087211220429,-0.7002234063376758
sample_25,-0.782604925493234,-0.7261781257287507
sample_26,-0.9998549664304186,-0.10973134517774576
sample_27,-0.9998018507946873,0.3315136614906414
sample_28,-0.935138393755406,0.6995721909660647
sample_29,-0.9459831527586031,0.6841533589865292
sample_30,-0.9999971116494073,-0.0974948163229208
sample_31,-0.8675597676212266,-0.7152879475291679
sample_32,-0.7804295769569477,-0.730433694639344
sample_33,-0.7804295769569477,-0.730433694639344
sample_34,-0.7987649985057954,-0.7246951468703129
sample_35,-0.9998946073223204,0.4426748531572448
sample_36,-0.9999082810398097,0.4653434158727234
sample_37,-0.9997851407753262,0.5129500923017042
sample_38,-0.9968278662360612,-0.5114097166593433
sample_39,-0.9471101251773154,0.6948228784842888
sample_40,-0.8866981716260809,0.7657574372547682
sample_41,-0.9332455551164851,0.7117043155261672
sample_42,-0.8820630402268075,0.7712748934611452
sample_43,-0.9043220439901721,0.7448184885951432
sample_44,-0.7250112669402513,-0.9993514714785718
sample_45,-0.8339551360041216,-0.9881126189229561
sample_46,-0.7716886759836326,-0.9939174556885096
sample_47,-0.7792392466062603,-0.9766898988502101
sample_48,-0.9999977036558063,0.35324397818103953
sample_49,-0.9999917882680587,0.37029781189613803
sample_50,-0.9999925393874494,0.34187399324102524
sample_51,-0.9997108406553253,-0.5453436688073545
sample_52,-0.9999985336062505,0.33868567761795204
