,t1 (mean),t2 (mean)
sample_1,-0.8632206436252997,0.712217210296268
sample_2,-0.7241434363272536,0.9310058974757977
sample_3,-0.7164684518857618,0.8808904582172294
sample_4,-0.8563873555094038,-0.9982968126058196
sample_5,-0.7990669644234476,-0.9999999999982652
sample_6,-0.928952318282659,-0.8609835978454916
sample_7,-0.9189874509619005,0.6584287554578369
sample_8,-0.8625947408639194,0.7234943901678399
sample_9,-0.7241382603721841,0.9314091945899461
sample_10,-0.7158169264852016,0.9285512682292445
sample_11,-0.7158169264852016,0.9285512682292445
sample_12,-0.7203241742596476,0.8868642987075707
sample_13,-0.8703837041366427,-0.981904954263034
sample_14,-0.9253701205942744,-0.873370842313713
sample_15,-0.927002960421649,-0.870128693731392
sample_16,-0.9929274491432587,0.4675684108199813
sample_17,-0.8617820996931409,-0.9999999904038852
sample_18,-0.9148158104460801,0.6598874243689442
sample_19,-0.9992962779181732,0.44808692587665155
sample_20,-0.8808262472343578,0.6809047087599213
sample_21,-0.9999999997487754,0.3392949607399085
sample_22,-0.9999697609946707,0.4437928620843964
sample_23,-0.9999885818170909,0.44267188062803553
sample_24,-0.931399626524271,-0.8598683002333388
sample_25,-0.7747293862602681,-0.9999999999999821
sample_26,-0.7799672727216793,-0.9999978420340625
sample_27,-0.723392901016231,0.9304953092027158
sample_28,-0.5880194508161708,0.9981716865620296
sample_29,-0.5889139569127256,0.9972868876233033
sample_30,-0.8657610243886326,0.7197635371095925
sample_31,-0.8030630983423737,-0.999999997887769
sample_32,-0.7932563420087166,-0.9999999999346092
sample_33,-0.7932563420087166,-0.9999999999346092
sample_34,-0.7940623645424076,-0.9999999995434562
sample_35,-0.7239119170993142,0.9304009269003908
sample_36,-0.7239057693314717,0.930212014794967
sample_37,-0.7226351455657224,0.9293926908039595
sample_38,-0.9964160684956404,-0.6444661858372278
sample_39,-0.6682719035275896,0.8798807825169542
sample_40,-0.5871069455248944,0.999038035738032
sample_41,-0.6600108148150992,0.8803031630088111
sample_42,-0.5870376989591058,0.9991096740202879
sample_43,-0.5877477583223478,0.9984446796761541
sample_44,-0.9285331352014916,-0.8668853929562264
sample_45,-0.9309891466610946,-0.86214120879963
sample_46,-0.8612590779253244,-0.9999983676372544
sample_47,-0.8609516307201396,-0.9999960974046298
sample_48,-0.9999930521194346,0.40663331882089426
sample_49,-0.9999090655469915,0.40851052907883756
sample_50,-0.9999999177178958,0.37894364936217684
sample_51,-0.999398685773646,-0.6450882800364808
sample_52,-0.9999957529008505,0.40110573871612043
sample_53,-0.9999999999999994,0.2671462449143666
sample_54,-0.9999998345302095,0.36768798980824924
sample_55,-0.9990603930763626,-0.6396011027116495
sample_56,-0.9999999648039856,0.37026744858856603
sample_57,-0.6544285325209891,-0.8621376410086349
sample_58,-0.788626781465368,-0.9999999933368835
sample_59,-0.7602244793365729,-0.9999999999993907
sample_60,-0.5177149395695565,0.9999999993602492
sample_61,-0.5848001118692672,0.9997367396608916
sample_62,-0.5562621227612563,0.9999860542204495
sample_63,-0.8359340554674445,-0.9990886946584151
