,t1 (mode),t2 (mode)
sample_1,-1.0,-0.10344827586206896
sample_2,-1.0,-0.10344827586206896
sample_3,-1.0,0.5862068965517241
sample_4,-1.0,-0.7241379310344828
sample_5,-1.0,-0.6551724137931034
sample_6,-1.0,-0.7241379310344828
sample_7,-1.0,0.3103448275862069
sample_8,-1.0,-0.10344827586206896
sample_9,-1.0,0.3103448275862069
sample_10,-1.0,0.6551724137931034
sample_11,-1.0,0.6551724137931034
sample_12,-1.0,0.5862068965517241
sample_13,-0.7931034482758621,-1.0
sample_14,-1.0,-0.7241379310344828
sample_15,-1.0,-0.7241379310344828
sample_16,-1.0,-0.10344827586206896
sample_17,-1.0,-0.7241379310344828
sample_18,-1.0,-0.10344827586206896
sample_19,-1.0,0.3103448275862069
sample_20,-1.0,0.3793103448275862
sample_21,-1.0,0.5862068965517241
sample_22,-1.0,-0.10344827586206896
sample_23,-1.0,-0.10344827586206896
sample_24,-1.0,-0.7241379310344828
sample_25,-0.7931034482758621,-0.7241379310344828
sample_26,-1.0,-0.10344827586206896
sample_27,-1.0,0.3103448275862069
sample_28,-0.8620689655172413,0.7931034482758621
sample_29,-0.8620689655172413,0.7931034482758621
sample_30,-1.0,-0.10344827586206896
sample_31,-0.7931034482758621,-0.7241379310344828
sample_32,-0.7931034482758621,-0.7241379310344828
sample_33,-0.7931034482758621,-0.7241379310344828
sample_34,-0.7931034482758621,-0.7241379310344828
sample_35,-1.0,0.3793103448275862
sample_36,-1.0,0.5862068965517241
sample_37,-1.0,0.5862068965517241
sample_38,-1.0,-0.7241379310344828
sample_39,-1.0,0.6551724137931034
sample_40,-0.8620689655172413,0.7931034482758621
sample_41,-0.8620689655172413,0.7931034482758621
sample_42,-0.8620689655172413,0.7931034482758621
sample_43,-0.8620689655172413,0.7931034482758621
sample_44,-0.7931034482758621,-1.0
sample_45,-0.7931034482758621,-1.0
sample_46,-0.7931034482758621,-1.0
sample_47,-0.7931034482758621,-1.0
sample_48,-1.0,0.3103448275862069
sample_49,-1.0,0.3793103448275862
sample_50,-1.0,0.3103448275862069
sample_51,-1.0,-0.7241379310344828
sample_52,-1.0,0.3103448275862069
sample_53,-1.0,0.6551724137931034
sample_54,-1.0,-0.10344827586206896
sample_55,-1.0,-0.7241379310344828
sample_56,-1.0,-0.10344827586206896
sample_57,-0.5862068965517241,-0.1724137931034483
sample_58,-0.5862068965517241,-0.7931034482758621
sample_59,-0.7931034482758621,-0.7241379310344828
sample_60,-0.7241379310344828,0.9310344827586207
sample_61,-0.8620689655172413,0.7931034482758621
sample_62,-0.8620689655172413,0.7931034482758621
sample_63,-0.5172413793103449,-1.0
sample_64,-0.7931034482758621,-0.7241379310344828
sample_65,-1.0,0.5862068965517241
sample_66,-1.0,0.5862068965517241
sample_67,-1.0,0.5862068965517241
sample_68,-0.8620689655172413,0.7931034482758621
sample_69,-0.8620689655172413,0.7931034482758621
sample_70,-0.8620689655172413,0.7931034482758621
sample_71,-0.8620689655172413,0.7931034482758621
sample_72,-0.7931034482758621,-1.0
sample_73,-0.6551724137931034,-1.0
sample_74,-0.6551724137931034,-1.0
sample_75,-0.5172413793103449,-1.0
sample_76,-1.0,0.3793103448275862
sample_77,-1.0,0.5862068965517241
sample_78,-1.0,0.3793103448275862
sample_79,-1.0,0.5862068965517241
sample_80,-1.0,0.5862068965517241
sample_81,-1.0,0.5862068965517241
sample_82,-1.0,0.5862068965517241
sample_83,-0.8620689655172413,0.7931034482758621
sample_84,-0.8620689655172413,0.7931034482758621
sample_85,-0.4482758620689655,-0.034482758620689655
sample_86,-0.3793103448275862,-0.3793103448275862
sample_87,-0.5862068965517241,-0.1724137931034483
sample_88,-0.4482758620689655,-0.4482758620689655
sample_89,-0.5862068965517241,0.2413793103448276
sample_90,-0.7241379310344828,0.4482758620689655
sample_91,-0.5172413793103449,-0.034482758620689655
sample_92,-0.5862068965517241,-0.1724137931034483
sample_93,-0.7931034482758621,0.5172413793103449
sample_94,-0.5862068965517241,-0.7931034482758621
sample_95,-0.7931034482758621,0.5172413793103449
sample_96,-0.7931034482758621,0.5172413793103449
sample_97,-0.3103448275862069,-1.0
sample_98,-0.5862068965517241,-0.7931034482758621
sample_99,-0.5862068965517241,-0.7931034482758621
sample_100,-0.5862068965517241,-0.7931034482758621
sample_101,-0.5172413793103449,-1.0
sample_102,-0.5172413793103449,-1.0
sample_103,-0.5172413793103449,-1.0
sample_104,-0.5172413793103449,-1.0
sample_105,-0.5862068965517241,-0.7931034482758621
sample_106,-0.5862068965517241,-0.7931034482758621
sample_107,-1.0,0.3793103448275862
sample_108,-0.8620689655172413,0.5172413793103449
sample_109,-0.8620689655172413,0.7931034482758621
sample_110,-0.8620689655172413,0.7931034482758621
sample_111,-0.7241379310344828,0.9310344827586207
sample_112,-0.7241379310344828,0.9310344827586207
sample_113,-0.7241379310344828,0.9310344827586207
