,t1 (mode),t2 (mode)
sample_1,-0.8620689655172413,0.7241379310344828
sample_2,-0.7241379310344828,0.9310344827586207
sample_3,-0.7241379310344828,0.8620689655172413
sample_4,-0.8620689655172413,-1.0
sample_5,-0.7931034482758621,-1.0
sample_6,-0.9310344827586207,-0.8620689655172413
sample_7,-0.9310344827586207,0.6551724137931034
sample_8,-0.8620689655172413,0.7241379310344828
sample_9,-0.7241379310344828,0.9310344827586207
sample_10,-0.7241379310344828,0.9310344827586207
sample_11,-0.7241379310344828,0.9310344827586207
sample_12,-0.7241379310344828,0.8620689655172413
sample_13,-0.8620689655172413,-1.0
sample_14,-0.9310344827586207,-0.8620689655172413
sample_15,-0.9310344827586207,-0.8620689655172413
sample_16,-1.0,0.4482758620689655
sample_17,-0.8620689655172413,-1.0
sample_18,-0.9310344827586207,0.6551724137931034
sample_19,-1.0,0.4482758620689655
sample_20,-0.8620689655172413,0.7241379310344828
sample_21,-1.0,0.3103448275862069
sample_22,-1.0,0.4482758620689655
sample_23,-1.0,0.4482758620689655
sample_24,-0.9310344827586207,-0.8620689655172413
sample_25,-0.7931034482758621,-1.0
sample_26,-0.7931034482758621,-1.0
sample_27,-0.7241379310344828,0.9310344827586207
sample_28,-0.5862068965517241,1.0
sample_29,-0.5862068965517241,1.0
sample_30,-0.8620689655172413,0.7241379310344828
sample_31,-0.7931034482758621,-1.0
sample_32,-0.7931034482758621,-1.0
sample_33,-0.7931034482758621,-1.0
sample_34,-0.7931034482758621,-1.0
sample_35,-0.7241379310344828,0.9310344827586207
sample_36,-0.7241379310344828,0.9310344827586207
sample_37,-0.7241379310344828,0.9310344827586207
sample_38,-1.0,-0.6551724137931034
sample_39,-0.6551724137931034,0.8620689655172413
sample_40,-0.5862068965517241,1.0
sample_41,-0.6551724137931034,0.8620689655172413
sample_42,-0.5862068965517241,1.0
sample_43,-0.5862068965517241,1.0
sample_44,-0.9310344827586207,-0.8620689655172413
sample_45,-0.9310344827586207,-0.8620689655172413
sample_46,-0.8620689655172413,-1.0
sample_47,-0.8620689655172413,-1.0
sample_48,-1.0,0.4482758620689655
sample_49,-1.0,0.4482758620689655
sample_50,-1.0,0.3793103448275862
sample_51,-1.0,-0.6551724137931034
sample_52,-1.0,0.4482758620689655
sample_53,-1.0,0.3103448275862069
sample_54,-1.0,0.3103448275862069
sample_55,-1.0,-0.6551724137931034
sample_56,-1.0,0.3103448275862069
sample_57,-0.6551724137931034,-0.8620689655172413
sample_58,-0.7931034482758621,-1.0
sample_59,-0.7931034482758621,-1.0
sample_60,-0.5172413793103449,1.0
sample_61,-0.5862068965517241,1.0
sample_62,-0.5862068965517241,1.0
sample_63,-0.8620689655172413,-1.0
sample_64,-0.7931034482758621,-1.0
sample_65,-0.6551724137931034,0.9310344827586207
sample_66,-0.6551724137931034,0.9310344827586207
sample_67,-0.7241379310344828,0.9310344827586207
sample_68,-0.5172413793103449,1.0
sample_69,-0.5862068965517241,1.0
sample_70,-0.6551724137931034,0.8620689655172413
sample_71,-0.6551724137931034,0.8620689655172413
sample_72,-0.9310344827586207,-0.8620689655172413
sample_73,-0.8620689655172413,-1.0
sample_74,-0.8620689655172413,-1.0
sample_75,-0.8620689655172413,-1.0
sample_76,-1.0,0.3103448275862069
sample_77,-1.0,0.3103448275862069
sample_78,-1.0,0.3103448275862069
sample_79,-1.0,0.3103448275862069
sample_80,-1.0,0.3103448275862069
sample_81,-1.0,0.3103448275862069
sample_82,-1.0,0.3103448275862069
sample_83,-1.0,0.1724137931034483
sample_84,-1.0,0.034482758620689655
sample_85,-0.7241379310344828,-0.5862068965517241
sample_86,-0.5862068965517241,-0.8620689655172413
sample_87,-0.6551724137931034,-0.8620689655172413
sample_88,-0.5172413793103449,-1.0
sample_89,-0.7931034482758621,0.2413793103448276
sample_90,-0.7931034482758621,0.2413793103448276
sample_91,-0.7241379310344828,-0.5862068965517241
sample_92,-0.6551724137931034,-0.8620689655172413
sample_93,-1.0,-0.3793103448275862
sample_94,-0.7931034482758621,-1.0
sample_95,-0.6551724137931034,0.8620689655172413
sample_96,-0.6551724137931034,0.8620689655172413
sample_97,1.0,-0.9310344827586207
sample_98,-0.7931034482758621,-1.0
sample_99,-0.7931034482758621,-1.0
sample_100,-0.7931034482758621,-1.0
sample_101,-0.7931034482758621,-1.0
sample_102,-0.7931034482758621,-1.0
sample_103,-0.7931034482758621,-1.0
sample_104,1.0,-1.0
sample_105,-0.7931034482758621,-1.0
sample_106,-0.7931034482758621,-1.0
sample_107,-0.9310344827586207,-0.7241379310344828
sample_108,-1.0,-0.3793103448275862
sample_109,-0.6551724137931034,0.8620689655172413
sample_110,-0.6551724137931034,0.8620689655172413
sample_111,-0.5172413793103449,1.0
sample_112,-0.6551724137931034,0.7931034482758621
sample_113,-0.6551724137931034,0.7931034482758621
sample_114,-0.5172413793103449,1.0
sample_115,-1.0,-0.3793103448275862
sample_116,1.0,-1.0
sample_117,1.0,-1.0
sample_118,-0.8620689655172413,-1.0
sample_119,1.0,-1.0
sample_120,1.0,-1.0
sample_121,-1.0,-0.5862068965517241
sample_122,-1.0,-0.5862068965517241
sample_123,-1.0,-0.3793103448275862
sample_124,-1.0,-0.5862068965517241
sample_125,-1.0,-0.5862068965517241
sample_126,-0.6551724137931034,0.6551724137931034
sample_127,-0.5862068965517241,0.6551724137931034
sample_128,-0.5172413793103449,-1.0
sample_129,-0.7931034482758621,0.2413793103448276
sample_130,-0.7931034482758621,0.2413793103448276
sample_131,-0.7931034482758621,0.2413793103448276
sample_132,-0.7241379310344828,-0.5862068965517241
sample_133,-0.7241379310344828,-0.5862068965517241
sample_134,-0.5172413793103449,1.0
sample_135,-0.5172413793103449,1.0
sample_136,1.0,-0.9310344827586207
sample_137,1.0,-1.0
sample_138,1.0,-0.9310344827586207
sample_139,1.0,-1.0
sample_140,1.0,-1.0
sample_141,-0.5862068965517241,-0.8620689655172413
sample_142,-0.5862068965517241,0.6551724137931034
sample_143,-0.5862068965517241,-0.8620689655172413
sample_144,0.6551724137931034,-1.0
sample_145,0.6551724137931034,-1.0
sample_146,-0.7931034482758621,0.2413793103448276
sample_147,-0.7241379310344828,-0.5862068965517241
sample_148,1.0,-0.9310344827586207
sample_149,1.0,-0.9310344827586207
sample_150,1.0,-0.9310344827586207
sample_151,1.0,-0.9310344827586207
sample_152,1.0,-0.9310344827586207
sample_153,1.0,-0.9310344827586207
sample_154,1.0,-0.9310344827586207
sample_155,1.0,-0.9310344827586207
sample_156,0.9310344827586207,-1.0
sample_157,0.9310344827586207,-1.0
sample_158,-0.3793103448275862,1.0
sample_159,1.0,-0.9310344827586207
sample_160,1.0,-0.9310344827586207
sample_161,1.0,-0.8620689655172413
sample_162,1.0,-1.0
sample_163,1.0,-1.0
sample_164,1.0,-1.0
sample_165,-1.0,-0.5862068965517241
sample_166,-1.0,-0.3793103448275862
sample_167,-0.5172413793103449,-0.6551724137931034
sample_168,-0.5172413793103449,-0.8620689655172413
sample_169,-0.4482758620689655,0.7241379310344828
sample_170,0.6551724137931034,-0.9310344827586207
sample_171,0.6551724137931034,-0.9310344827586207
sample_172,0.6551724137931034,-0.9310344827586207
sample_173,0.6551724137931034,-0.9310344827586207
sample_174,0.6551724137931034,-0.9310344827586207
sample_175,0.6551724137931034,-0.9310344827586207
sample_176,0.6551724137931034,-0.9310344827586207
sample_177,-0.5172413793103449,0.7931034482758621
sample_178,1.0,-0.8620689655172413
sample_179,1.0,-0.8620689655172413
sample_180,1.0,-0.7931034482758621
sample_181,1.0,-0.9310344827586207
sample_182,-0.10344827586206896,0.9310344827586207
sample_183,0.6551724137931034,-0.8620689655172413
sample_184,0.6551724137931034,-0.8620689655172413
