"",MaxAbsEStateIndex,HeavyAtomMolWt,ExactMolWt,MaxAbsPartialCharge,MinAbsPartialCharge,Chi0,Chi0v,Chi1,Chi1n,Chi2v,Chi3n,Chi4n,Chi4v,LabuteASA,VSA_EState10,HeavyAtomCount,NOCount,NumHDonors,MolMR,fr_benzene
SlogP_VSA12,0.20415973502782675,0.45779492184149606,0.40918379417699274,0.3607343884702892,0.16582154457410997,0.07679041377360361,0.24970222374499215,0.03895478547798405,0.097070568419531,0.2556766088773962,0.08925974867447277,0.08679308303365378,0.1590939550413892,0.24423054843432374,0.9506189820147909,0.054894344735166835,0.2623868438450823,0.21568342685745628,0.18948102788188215,0.13022457371590884
NumValenceElectrons,0.5064284701566067,0.8838907735259235,0.9108546262288487,0.29398117130757717,0.3826031235143285,0.9953776527696409,0.9674193371954711,0.9852700164292164,0.9571365126726112,0.888135093754407,0.8678111263635343,0.8247092837074761,0.8261988579546021,0.9747606086333045,0.09940663800129759,0.9906927329111052,0.6039523429291237,0.3729573345687216,0.9595284501594782,0.30741022278979835
NHOHCount,0.3971768838713745,0.2309341440186814,0.24142568159496167,0.43959326677574256,0.3415466919672924,0.33461623598685086,0.19867523714907215,0.2940095523595808,0.23951987163587501,0.174314689486423,0.21982508290584182,0.19497525670349064,0.1491802878277181,0.23973445697570786,0.2045248612358704,0.3100503753920705,0.6680367486081031,0.9623521230310607,0.19294511298330527,0.0629878202824141
Chi2n,0.41602870241625733,0.7303982141055505,0.7716733695808636,0.22693320217594454,0.21430909762499,0.8977651197013757,0.8855215121547962,0.9030369740985122,0.9722574586901903,0.870314046284993,0.977240676931981,0.9546759523000516,0.8704571082796737,0.8759181756389149,0.04894356496739694,0.9065325927131573,0.43363160339361756,0.3004639821627977,0.88252614453669,0.21487765472244533
Chi1v,0.366148541134885,0.8958490840806447,0.9213330425325978,0.14924409430442656,0.24185332909727442,0.9362017890123666,0.979568392523191,0.9346072091348296,0.9309332823511132,0.9614062385799497,0.8532894837626073,0.8188777817996212,0.9063097362096197,0.9594574570000162,0.1887977979032121,0.9370982871126539,0.43442218085751183,0.22597690051535643,0.9649924615596988,0.30540125099414317
MaxPartialCharge,0.7692468013624967,0.32263137403415065,0.32435219998170867,0.6692330110457322,0.9779197391026545,0.4017892499044537,0.2855232697549471,0.348883388524643,0.24755837358628735,0.2131111285214735,0.15633347443262294,0.13175017240381645,0.14602824435534642,0.3093043216751763,0.10360563563084071,0.3662844975419098,0.6824278589656533,0.3343683998160928,0.23923197278909578,0.09105765337401035
MolWt,0.37847121842151416,0.9975713939219526,0.9999775362262205,0.13407434931936416,0.29820351866134537,0.9172141936144156,0.9586813357031193,0.8977297696215302,0.8064134223355387,0.8912010929253893,0.7274550315139218,0.6911137888932467,0.7917735033657379,0.9634243398211547,0.38994689527972504,0.907690100141553,0.47249180447539635,0.27101144933965565,0.9320155455380842,0.35993865245557083
TPSA,0.6427997391674107,0.4076545261558362,0.4203726986610867,0.5730367230705533,0.642437017549642,0.5552293970395136,0.3871543783849086,0.5057171354304326,0.41709618189863346,0.3299885039371058,0.3596614041541034,0.328400080332176,0.2886122088636346,0.4275544254765545,0.2573655087737416,0.524252609826747,0.9582040853837217,0.8090136581044716,0.3551153032870942,0.1050537476444821
Chi3v,0.31694497006543093,0.8285007172859848,0.8499321819373179,0.09486978014536453,0.15471250802049677,0.8369747081101686,0.8993516379074147,0.8337621151524199,0.8534668078823565,0.9576191303839224,0.8815763366595376,0.8682938924928889,0.9807525146073177,0.8762764551065707,0.24756175048713241,0.8409903284823457,0.32973070820098543,0.19276873137114087,0.8687607885187945,0.1996937592124302
NumAromaticCarbocycles,0.10470935650058097,0.3784710452841822,0.35974214625304735,0.15199372687259044,0.09493535638209685,0.359219972976793,0.3336974949669631,0.4317846094809392,0.2956076880228196,0.21493583591293342,0.18904957891787372,0.16185432601126695,0.17647274755756384,0.4071440742028254,0.16916090719093058,0.4090655904839942,0.08436289487503455,0.08016888819229465,0.4677107405961271,1.0
fr_ether,0.25727488649980645,0.22836223268798866,0.2435064465360102,0.3570650693857976,0.3423966130834868,0.3133783752775283,0.2699986172566934,0.3140263343168002,0.2948429755253095,0.1620477153288288,0.2146181958601421,0.19898884160056143,0.13778986371803006,0.2755180228896706,0.1007134196264008,0.3095513337996844,0.367613832283656,0.05178387707629231,0.24046815675257913,0.0025302402523281276
MinPartialCharge,0.677590609078417,0.09729655751069202,0.12047727697599003,0.988925517001028,0.6396792916863311,0.2780224411858603,0.1547075373107108,0.25394830847905436,0.24911140878595237,0.09619744738402589,0.1942784862353933,0.17190323897984386,0.10842772995347431,0.1692295752895532,0.36004094795398306,0.2600853196563843,0.5633055245560953,0.456530603601604,0.14040524594867193,0.1450496101443725
VSA_EState3,0.35363751894573753,0.3428876107927802,0.3574101743467807,0.3673097607785713,0.20267889233786193,0.45126647856913327,0.3332760492589465,0.419939933692689,0.39673184182130516,0.3080010946313762,0.4180906747895204,0.3988834734489983,0.30992670791114374,0.3752855199027398,0.13973362411669935,0.4333461053391092,0.5608774909740174,0.7858563883604095,0.3223848109279779,0.03026036145433143
MaxEStateIndex,1.0,0.36378604473538023,0.3808806011415929,0.6969996790636295,0.7531962483220641,0.5119649895606603,0.39021808321954626,0.4579814460464846,0.4215074532341774,0.33840137880402005,0.37875192518786116,0.3478422853314524,0.30891714392074066,0.4082734661126034,0.16584198069820502,0.47713536489096803,0.6449730702016381,0.4245799767172805,0.3432052637241216,0.10470935650058087
fr_NH0,0.083543550393457,0.202179545291508,0.20112317691587214,0.12687520364592322,0.19392555210977616,0.24809911263110412,0.2036235183939111,0.2682153993965081,0.18856672221928783,0.1228622122747665,0.10033869318512856,0.08109721118777333,0.08542728261978587,0.2228784702794826,0.08145043627645766,0.2606932746100901,0.4512042311884817,0.013356882573599427,0.22062773945501402,0.009535669959679895
