,MaxEStateIndex,NumAromaticCarbocycles,ExactMolWt,HeavyAtomCount,MolWt,Chi0,Chi3n,MaxAbsPartialCharge,LabuteASA,Chi0n,NumValenceElectrons,Chi0v,Chi3v,MinAbsPartialCharge,Chi1n,Chi1,MolMR,NumHDonors,Chi1v,NOCount,Chi2n,VSA_EState10
MinEStateIndex,0.6757669224617175,0.04013332393811545,0.44815808805765234,0.43833157994756516,0.4469578035264181,0.48335376570403954,0.22773237984545341,0.45685857046556844,0.4019526521941805,0.36833865649715697,0.46937547328354173,0.3901740121075699,0.3413502094828083,0.646220269014039,0.29679255300937585,0.40859242539576,0.3226066820161733,0.4506946018551248,0.39516161457338267,0.6491966727152367,0.278796123049335,0.01939417841256048
MaxAbsEStateIndex,1.0,0.10470935650058097,0.3808806011415929,0.47713536489096803,0.3784712184215142,0.5119649895606603,0.37875192518786116,0.6969996790636295,0.4082734661126034,0.46643108618330636,0.5064284701566067,0.39021808321954626,0.31694497006543093,0.7531962483220641,0.4215074532341774,0.4579814460464846,0.3432052637241216,0.4245799767172805,0.366148541134885,0.6449730702016381,0.4160287024162574,0.16584198069820502
MinAbsEStateIndex,0.7269395991968556,0.09938768347007815,0.3261510804684888,0.34966517787805246,0.3255787080509555,0.3820682224775922,0.2565545778089111,0.5391978534179372,0.3347299044567176,0.33367957118227826,0.37700319334578136,0.3293950176212889,0.2556958673045851,0.5462844866320576,0.2902614313970242,0.3316295772540682,0.278401424652619,0.3000918318940459,0.2913936875882601,0.4581024370344513,0.2964361337116103,0.08216722527646392
qed,0.3742595069736675,0.20219719133629832,0.31354406519204897,0.3708381836479977,0.3122542700732634,0.3627593396573322,0.27449140989515713,0.3409364669765651,0.3463526966300237,0.37207687862843525,0.35371853580252516,0.3442565899670642,0.23407130182597885,0.29383215629528275,0.3430412006591587,0.37295790605525186,0.3600896052701588,0.06300285131395257,0.3286945436135408,0.23070799287399796,0.31408856198135593,0.10021759754009145
HeavyAtomMolWt,0.36378604473538023,0.3784710452841822,0.9972522027463203,0.8873606301228301,0.9975713939219527,0.8967373106879944,0.690865328001921,0.11579442238285052,0.9491102099489346,0.8046891249196985,0.8838907735259234,0.9393081050753463,0.8285007172859848,0.29494661948944634,0.7682876664152739,0.876898358486966,0.9131869929329086,0.26038186805147906,0.8958490840806448,0.46187261939887614,0.7303982141055504,0.43010881196777434
MaxPartialCharge,0.7692468013624967,0.09105765337401044,0.32435219998170867,0.3662844975419098,0.322508021743746,0.4017892499044537,0.15633347443262294,0.6692330110457322,0.3093043216751763,0.319964415111809,0.3857915918906959,0.2855232697549471,0.1611558570322294,0.9779197391026545,0.24755837358628735,0.348883388524643,0.23923197278909578,0.3343683998160928,0.24708650906608756,0.6824278589656533,0.2057560771918617,0.10360563563084071
MinPartialCharge,0.677590609078417,0.14504961014437226,0.12047727697599003,0.2600853196563843,0.11719286862998514,0.2780224411858603,0.1942784862353933,0.988925517001028,0.1692295752895532,0.2836189928208758,0.28464680975323503,0.1547075373107108,0.09172485017000308,0.6396792916863311,0.24911140878595237,0.25394830847905436,0.14040524594867193,0.456530603601604,0.14379878867532148,0.5633055245560953,0.22873281734517303,0.36004094795398306
FpDensityMorgan1,0.2819588940866084,0.5447979672963039,0.35906328714859276,0.3425602820388759,0.36029549503768626,0.3127131028998986,0.258388707153334,0.3366769386295717,0.38800936851841394,0.29387448220905277,0.3019542802681501,0.3608218668743884,0.3153140942825001,0.31950733239710327,0.32055776783175516,0.3564564942555241,0.4208699828168451,0.10651858764115771,0.35564354869888365,0.17436950768280174,0.27181731725635094,0.31559200933059117
FpDensityMorgan2,0.3385758205003697,0.402197558760702,0.20690382931676943,0.12989684379239688,0.2089054439227979,0.12089479466071915,0.056058120189914816,0.3940297195623161,0.19400257346999342,0.08842225941841315,0.10899804798017124,0.18357817141920116,0.14347516576608538,0.3528947182362503,0.10160917203116836,0.13390120371974973,0.2135222717312027,0.13667965063076132,0.16847875571582344,0.26147927567005413,0.07308962559427844,0.34739069797772393
FpDensityMorgan3,0.3899546804030105,0.1289447632733765,0.06639059269220321,0.18935400173643568,0.06391396880605611,0.17556900819943627,0.21790243217054464,0.40979822395154436,0.1180566486004024,0.20575874904989144,0.18265152253243935,0.10530606491640276,0.11685718170975876,0.39074597062289024,0.20385099869121742,0.19524787054771847,0.11394486006805613,0.17830106218644814,0.12365369891872388,0.35635327049395393,0.20301213497867576,0.29750748479890193
