,t1,t2
sample_1,-1.0324728,6.2743015
sample_2,-9.972694,-5.339412
sample_3,-13.79276,-17.083057
sample_4,-1.0703017,10.8357315
sample_5,4.194258,5.792481
sample_6,-1.6622772,12.196379
sample_7,-12.561586,4.287557
sample_8,-0.68215966,3.6230173
sample_9,-9.344309,-6.520696
sample_10,-10.889833,-17.866953
sample_11,-10.8898,-17.866833
sample_12,-14.222065,-16.6099
sample_13,1.6730802,11.477895
sample_14,-0.054957066,12.823262
sample_15,-0.45258227,11.414097
sample_16,-11.863806,8.147502
sample_17,3.4758232,8.452272
sample_18,-4.6138353,1.0284567
sample_19,-11.518037,4.121573
sample_20,-4.5141377,0.08417331
sample_21,-14.531676,1.8244323
sample_22,-11.707911,7.2562394
sample_23,-10.999047,8.027054
sample_24,-2.7466755,1.2593219
sample_25,3.5364075,5.2973127
sample_26,-0.10462772,3.7714825
sample_27,-10.37172,-5.7821
sample_28,-9.78422,-14.937685
sample_29,-10.245126,-15.094461
sample_30,-2.3015883,6.6926622
sample_31,5.1651793,5.8881054
sample_32,3.3556387,6.7255335
sample_33,3.356616,6.725762
sample_34,4.552529,7.1994534
sample_35,-9.148443,-7.134787
sample_36,-10.79846,-7.4424133
sample_37,-10.281284,-7.3103347
sample_38,-4.419556,1.7659482
sample_39,-13.825517,-15.912429
sample_40,-11.273511,-14.154247
sample_41,-15.233488,-16.07564
sample_42,-11.289402,-14.424527
sample_43,-9.480412,-13.011712
sample_44,1.8123226,11.316289
sample_45,-0.047117844,11.305696
sample_46,3.928072,8.681153
sample_47,6.901701,11.108868
sample_48,-10.980653,3.6801417
sample_49,-12.035275,2.3712537
sample_50,-15.265869,7.162148
sample_51,-4.946355,1.6643974
sample_52,-10.245596,4.3619866
sample_53,-14.992193,1.6058728
sample_54,-10.408936,7.861706
sample_55,-6.6922383,5.2862163
sample_56,-10.721204,7.1175046
sample_57,4.1739,-3.9680388
sample_58,7.6434817,3.7336147
sample_59,5.2712736,6.739465
sample_60,-12.902192,-9.517561
sample_61,-10.032298,-14.158127
sample_62,-10.491271,-14.03897
sample_63,10.695894,4.280348
sample_64,6.1555896,6.070042
sample_65,-9.531141,-9.69018
sample_66,-10.021701,-8.187362
sample_67,-8.502586,-7.820207
sample_68,-11.862176,-13.606877
sample_69,-10.7243185,-11.601968
sample_70,-11.622619,-17.364376
sample_71,-13.833834,-15.382757
sample_72,0.245906,11.132644
sample_73,9.160202,9.437513
sample_74,8.096619,11.600284
sample_75,10.047676,6.770578
sample_76,-9.642112,3.801623
sample_77,-12.173849,1.3932023
sample_78,-9.452015,3.735426
sample_79,-10.44994,0.70937186
sample_80,-10.364549,3.1129808
sample_81,-11.26375,1.9392865
sample_82,-11.275263,1.4593664
sample_83,-15.23572,0.5565141
sample_84,-16.588003,1.4563825
sample_85,6.3580074,-3.096068
sample_86,7.1122413,-4.404326
sample_87,6.833458,-4.041273
sample_88,8.110404,-2.4055183
sample_89,-1.7477708,-8.029004
sample_90,-2.0949748,-6.4684167
sample_91,2.0829802,-7.217491
sample_92,4.1843276,-4.952496
sample_93,-3.7952776,7.2447567
sample_94,8.128094,3.5280192
sample_95,-8.038082,-9.080685
sample_96,-12.507626,-7.235345
sample_97,11.033589,4.388359
sample_98,8.0865345,9.901173
sample_99,5.7747865,9.882946
sample_100,6.819198,8.096982
sample_101,7.198741,5.9451528
sample_102,7.6521535,6.3288393
sample_103,7.6454353,6.322424
sample_104,13.103314,8.121351
sample_105,7.378312,7.170298
sample_106,8.383456,8.395897
sample_107,-1.821062,3.2992132
sample_108,-11.661556,0.4137133
sample_109,-9.300516,-8.621344
sample_110,-11.034999,-8.85455
sample_111,-11.716815,-12.136218
sample_112,-15.162286,-14.468237
sample_113,-13.817831,-14.95974
sample_114,-12.551856,-12.396961
sample_115,-8.882781,8.295162
sample_116,9.073739,11.089511
sample_117,10.977176,10.975013
sample_118,10.938968,6.2774057
sample_119,10.165333,8.903623
sample_120,10.222441,9.469046
sample_121,-7.9605193,-0.47281232
sample_122,-5.277194,2.961669
sample_123,-6.165192,-0.7223046
sample_124,-7.8501987,4.0083447
sample_125,-6.6506824,5.8650374
sample_126,-2.412824,-10.430406
sample_127,-4.195401,-10.210357
sample_128,8.745007,-4.2435484
sample_129,-0.4126418,-6.9895997
sample_130,-0.85559344,-7.9669642
sample_131,-0.6065331,-7.759177
sample_132,2.2958229,-7.883048
sample_133,2.2413206,-7.745497
sample_134,-10.80877,-12.989645
sample_135,-12.933254,-12.944774
sample_136,14.005018,7.9689584
sample_137,12.106406,10.872447
sample_138,11.925589,5.8935356
sample_139,11.1272335,8.946015
sample_140,11.368091,9.111199
sample_141,7.9854817,-4.6379566
sample_142,-2.50039,-10.501584
sample_143,10.026332,-4.7639728
sample_144,9.959401,-6.261116
sample_145,9.734788,-6.6842184
