,t_1,t_2
sample_1,1.0016427,-0.730231
sample_2,-6.4455433,-6.4685583
sample_3,-10.45094,-8.623651
sample_4,7.709867,-1.9442388
sample_5,9.089019,0.93003845
sample_6,8.7150345,-4.0654907
sample_7,0.5742603,-9.081425
sample_8,3.5796578,-1.1496785
sample_9,-6.1826606,-5.5006943
sample_10,-8.60035,-8.382489
sample_11,-8.60035,-8.382489
sample_12,-10.781647,-8.637422
sample_13,9.498781,-1.6193962
sample_14,7.592337,-3.1446733
sample_15,8.286336,-2.5055656
sample_16,2.0889294,-9.923099
sample_17,10.522429,3.728487
sample_18,3.3728495,-6.1424084
sample_19,0.84020805,-8.209724
sample_20,2.9292896,-6.707477
sample_21,-1.8980802,-10.540035
sample_22,2.45042,-10.589886
sample_23,2.8290772,-9.79225
sample_24,5.625731,-5.860487
sample_25,10.03001,1.1491703
sample_26,3.8638551,-0.75025344
sample_27,-6.963052,-6.1630754
sample_28,-10.479212,-6.3506737
sample_29,-10.125176,-6.2106724
sample_30,0.012519418,-1.5017432
sample_31,8.115234,1.1974343
sample_32,10.39034,1.9440552
sample_33,10.390532,1.9437792
sample_34,9.266935,1.999542
sample_35,-6.12845,-4.938613
sample_36,-7.2601347,-4.897382
sample_37,-7.1445026,-4.9996
sample_38,3.9910583,-5.757859
sample_39,-11.202348,-8.036979
sample_40,-10.482478,-5.2300143
sample_41,-11.534963,-9.108144
sample_42,-10.504513,-5.3447437
sample_43,-12.120586,-5.7373943
sample_44,9.518221,-1.5729373
sample_45,8.661242,-2.6042495
sample_46,10.513933,4.2912874
sample_47,9.235144,5.185299
sample_48,0.747573,-7.6293144
sample_49,-0.7506203,-8.556229
sample_50,1.6386663,-13.401935
sample_51,3.5854373,-5.596852
sample_52,0.14934197,-7.5376844
sample_53,-2.2412,-10.801581
sample_54,3.285156,-9.786391
sample_55,4.5234923,-7.223654
sample_56,3.1037664,-10.451706
sample_57,-3.6801808,6.7500463
sample_58,11.712508,3.3079164
sample_59,8.486509,1.8451086
sample_60,-9.421207,-3.2412941
sample_61,-11.068594,-5.913876
sample_62,-11.137923,-5.5897484
sample_63,11.957107,5.6360683
sample_64,7.5415545,1.8060693
sample_65,-6.914157,-2.6697218
sample_66,-6.9816794,-4.1454973
sample_67,-5.7656145,-4.1848035
sample_68,-10.971441,-4.675012
sample_69,-13.085919,-4.3550453
sample_70,-8.931833,-7.790603
sample_71,-11.655525,-7.7945023
sample_72,8.93415,-2.6831512
sample_73,8.645468,5.5975657
sample_74,7.664052,6.16676
sample_75,10.412963,4.9778605
sample_76,-0.22501785,-6.764148
