"",SlogP_VSA12,NumValenceElectrons,NHOHCount,Chi2n,Chi1v,MaxPartialCharge,MolWt,TPSA,Chi3v,NumAromaticCarbocycles,fr_ether,MinPartialCharge,VSA_EState3,MaxEStateIndex,fr_NH0,MolLogP,NumAromaticRings,NumHAcceptors,Chi0n,VSA_EState1,NumRotatableBonds,fr_bicyclic,RingCount,FractionCSP3,fr_C_O_noCOO,EState_VSA8,SMR_VSA3,NumHeteroatoms,SlogP_VSA4,NumAliphaticRings,SMR_VSA4,VSA_EState2,VSA_EState4,EState_VSA9,SlogP_VSA6,SlogP_VSA3,EState_VSA4,fr_C_O,fr_halogen,SMR_VSA5,SlogP_VSA5,MinAbsEStateIndex,EState_VSA6,VSA_EState5,SlogP_VSA2,VSA_EState7,FpDensityMorgan3,SMR_VSA9,VSA_EState8,EState_VSA2,PEOE_VSA2,EState_VSA10,PEOE_VSA7,MinEStateIndex,qed,Ipc,EState_VSA5,PEOE_VSA6,PEOE_VSA9,SMR_VSA10,EState_VSA3,PEOE_VSA1,PEOE_VSA14,PEOE_VSA3,EState_VSA1,FpDensityMorgan2,SMR_VSA1,SMR_VSA6,EState_VSA7,BalabanJ,BertzCT,Kappa2,Kappa3,PEOE_VSA10,FpDensityMorgan1,PEOE_VSA8,SlogP_VSA10,SlogP_VSA1,VSA_EState6,HallKierAlpha,Kappa1,SMR_VSA7
sample_1,0.0,24,2,0.6106504100245024,0.9927992798267444,0.2137901795921754,59.068,43.09,0.0,0,0,-0.36992058791265336,0.0,9.222222222222221,0,-0.5084000000000002,0,1,2.485598559653489,0.0,0,0,0,0.5,1,5.733667477162185,0.0,2,0.0,0,5.733667477162185,9.222222222222221,4.472222222222222,0.0,0.0,4.794537184071822,0.0,1,0,6.923737199690624,6.923737199690624,0.33333333333333304,0.0,-0.33333333333333304,5.907179729351506,0.0,2.0,0.0,1.3055555555555556,5.907179729351506,4.794537184071822,4.794537184071822,0.0,-0.33333333333333304,0.40103092275538377,3.2451124978365313,6.923737199690624,0.0,0.0,5.907179729351506,0.0,5.733667477162185,0.0,0.0,0.0,2.0,4.794537184071822,0.0,0.0,2.8030394876740514,29.019550008653873,0.8748582995951415,1.1560092559629747,0.0,2.0,6.923737199690624,0.0,5.733667477162185,0.0,-0.53,3.4699999999999998,0.0
sample_2,0.0,20,3,0.2886751345948129,0.7886751345948129,-0.0017246824386040296,46.073,38.05,0.0,0,0,-0.2717217592299514,0.0,4.597222222222222,0,-0.9205000000000001,0,2,2.0773502691896257,0.0,0,0,0,1.0,0,11.268461667376624,5.425791397110385,2,0.0,0,5.842670270266239,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.6527777777777777,7.04767198267719,4.597222222222222,7.04767198267719,0.0,2.0,0.0,0.0,0.0,11.268461667376624,0.0,7.04767198267719,1.6527777777777777,0.27331503611697344,2.7548875021634682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.04767198267719,0.0,1.6329931618554523,2.7548875021634682,1.9199999999999995,1.9200000000000033,0.0,2.0,0.0,0.0,11.268461667376624,0.0,-0.08,2.92,0.0
sample_3,0.0,24,1,0.5190180358994382,0.9277309429819105,0.2996845531582142,60.05200000000001,37.3,0.0,0,0,-0.481433475172105,7.416666666666666,9.0,0,0.09089999999999993,0,1,2.355461885963821,0.0,0,0,0,0.5,0,0.0,0.0,2,0.0,0,0.0,9.0,0.0,9.901064578912528,0.0,4.794537184071822,6.923737199690624,1,0,6.923737199690624,6.923737199690624,0.8333333333333333,0.0,-0.8333333333333333,11.075832682792555,0.0,2.0,0.0,1.0833333333333333,0.0,4.794537184071822,0.0,0.0,-0.8333333333333333,0.4298828832001217,3.2451124978365313,0.0,0.0,0.0,5.969305287951849,0.0,5.106527394840706,0.0,0.0,5.969305287951849,2.0,9.901064578912528,0.0,0.0,2.8030394876740514,27.019550008653873,0.8748582995951415,1.1560092559629747,0.0,2.0,6.923737199690624,0.0,0.0,0.0,-0.53,3.4699999999999998,0.0
sample_4,0.0,30,1,1.4571067811865472,2.207106781186547,-0.004844703952428027,71.123,12.03,0.9571067811865472,0,0,-0.3167309205412665,3.2222222222222223,3.2222222222222223,0,0.36979999999999996,0,1,3.32842712474619,0.0,0,0,1,1.0,0,5.316788604006331,5.316788604006331,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.841643245852019,12.841643245852019,1.25,0.0,0.0,13.08951281182515,2.7777777777777777,1.8,0.0,2.5,0.0,0.0,0.0,25.93115605767717,1.25,0.4347944578283113,22.886435386960574,25.93115605767717,0.0,0.0,0.0,0.0,5.316788604006331,0.0,0.0,0.0,1.6,0.0,13.08951281182515,0.0,2.083333333333333,15.219280948873621,1.4103121748178982,0.6183636836628511,0.0,1.0,0.0,0.0,5.316788604006331,0.0,-0.04,3.1616129032258065,0.0
sample_5,0.0,30,4,0.47605416898611963,0.9664060775767234,0.33539090853305475,76.05499999999999,75.35000000000001,0.11019326889555414,0,0,-0.3498912803677604,7.418981481481481,9.229166666666666,0,-0.9561000000000002,0,2,2.4328121551534467,0.0,0,0,0,0.0,1,5.733667477162185,5.480096598121202,4,0.0,0,5.733667477162185,9.229166666666666,5.458333333333334,5.20725302477729,0.0,0.0,0.0,1,0,0.0,0.0,0.9398148148148147,0.0,0.0,11.238367537115362,0.0,2.2,0.0,0.0,0.0,5.20725302477729,4.794537184071822,0.0,-0.9398148148148147,0.25664360627911675,9.65148445440323,5.480096598121202,0.0,0.0,6.031114512338072,0.0,5.733667477162185,6.031114512338072,10.274633782193025,6.031114512338072,2.2,10.001790208849112,0.0,0.0,2.8473789230876716,42.91260938324327,1.5395975232198151,3.2300000000000026,0.0,2.0,0.0,4.794537184071822,11.213764075283386,-0.9398148148148147,-0.77,4.230000000000002,0.0
sample_6,0.0,38,3,1.0189718779350343,1.7071510027085632,0.10004702601723478,92.09400000000001,60.69,0.42149820593270626,0,0,-0.3935933161206694,24.016203703703706,8.166666666666668,0,-1.6681000000000001,0,3,3.3332046180625943,0.0,2,0,0,1.0,0,0.0,0.0,3,0.0,0,0.0,0.0,0.0,15.319582184522117,0.0,0.0,0.0,0,0,6.103966387748303,0.0,0.36458333333333326,0.0,0.0,34.63731250129626,-0.9537037037037039,1.5,0.0,-0.7291666666666665,13.213763929025836,0.0,0.0,0.0,-0.9537037037037039,0.3814944322102413,19.800269059780252,0.0,0.0,13.213763929025836,0.0,0.0,15.319582184522117,0.0,0.0,6.103966387748303,1.5,15.319582184522117,13.213763929025836,0.0,2.7541847860376616,25.219280948873624,3.0849180327868857,2.1377319587628865,6.103966387748303,1.1666666666666667,0.0,0.0,0.0,0.0,-0.12,5.88,0.0
sample_7,0.0,36,0,1.413445226899354,1.8221581339818262,0.2184251307903347,87.122,20.310000000000002,0.6297877813350133,0,0,-0.3490642652721722,0.0,10.069444444444445,1,0.09450000000000003,0,1,4.3554618859638214,0.0,0,0,0,0.75,1,0.0,4.899909730850478,2,0.0,0,0.0,11.597222222222221,0.0,0.0,0.0,4.794537184071822,0.0,1,0,6.923737199690624,6.923737199690624,0.092592592592593,14.09534396535438,0.092592592592593,24.902433425556364,0.0,1.6666666666666667,0.0,1.5277777777777777,5.907179729351506,4.794537184071822,4.794537184071822,0.0,0.092592592592593,0.40990688283686294,13.609640474436812,11.823646930541102,0.0,0.0,5.907179729351506,0.0,4.899909730850478,0.0,0.0,0.0,1.6666666666666667,4.794537184071822,14.09534396535438,0.0,3.2575861612334887,58.568425030288566,1.798837033645378,1.7581844380403455,0.0,1.5,21.019081165045005,0.0,0.0,0.0,-0.53,5.469999999999999,0.0
sample_8,0.0,30,0,0.9139826841355732,1.7163977794943226,0.049568625573236845,80.08999999999999,25.78,0.48324370427588537,0,0,-0.15917583224964102,7.069444444444445,3.5347222222222223,2,0.4765999999999999,1,2,3.203828267758419,0.0,0,0,1,0.0,0,10.197363616602075,10.197363616602075,2,0.0,0,0.0,0.0,0.0,0.0,24.526421280149375,0.0,0.0,0,0,0.0,0.0,1.6388888888888888,12.393687143226153,0.0,10.197363616602075,3.2777777777777777,1.5,0.0,0.0,0.0,0.0,0.0,12.13273413692322,1.6388888888888888,0.4525571430979931,34.3994618804395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,12.13273413692322,3.000000000000001,77.47078006212229,1.4998028396056793,0.5163568727137455,0.0,0.8333333333333334,12.393687143226153,0.0,0.0,3.6527777777777777,-0.92,3.2768503937007876,24.526421280149375
sample_9,0.0,30,0,0.9042049375677446,1.6994622256553116,0.11475741217610112,80.08999999999999,25.78,0.4775985196628816,0,0,-0.2448319095615807,0.0,3.673611111111111,2,0.4765999999999999,1,2,3.203828267758419,0.0,0,0,1,0.0,0,9.967957041894417,9.967957041894417,2,0.0,0,0.0,7.347222222222222,0.0,0.0,24.7873742864523,0.0,0.0,0,0,0.0,0.0,1.5,18.460054211687762,0.0,9.967957041894417,4.875,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,6.06636706846161,1.5,0.4525571430979931,34.3994618804395,6.3273200747645415,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,1.6666666666666667,0.0,0.0,0.0,3.000000000000001,77.47078006212229,1.4998028396056793,0.5163568727137455,6.3273200747645415,1.0,12.393687143226153,0.0,0.0,1.7777777777777777,-0.92,3.2768503937007876,24.7873742864523
sample_10,0.0,74,6,2.4810286345909196,3.481747671950047,0.11057860653131252,182.172,121.38000000000001,1.5124781619578975,0,0,-0.393579134968567,52.1769142101285,8.95662037037037,0,-3.5854000000000004,0,6,6.406896212131347,0.0,5,0,0,1.0,0,0.0,0.0,6,0.0,0,0.0,0.0,0.0,30.63916436904423,0.0,0.0,0.0,0,0,24.41586555099321,0.0,0.7258182161753588,0.0,0.0,68.26879384906327,-6.391944444444446,1.0833333333333333,0.0,-1.4516364323507176,0.0,0.0,0.0,0.0,-1.669305555555556,0.2612626527203185,358.753229562491,0.0,0.0,13.213763929025836,0.0,0.0,30.63916436904423,0.0,0.0,37.62962948001904,0.9166666666666666,30.63916436904423,13.213763929025836,0.0,3.9851644508585786,104.6059378176129,5.413461330448892,3.015404674173516,24.41586555099321,0.6666666666666666,0.0,0.0,0.0,0.0,-0.24000000000000002,11.760000000000002,0.0
