,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,HeavyAtomMolWt,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi2v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,FractionCSP3,NHOHCount,NumAliphaticRings,NumAromaticRings,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,RingCount,MolLogP,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_benzene,fr_bicyclic,fr_ether,fr_halogen
sample_1,-0.33333333333333304,9.222222222222221,0.33333333333333304,0.40103092275538377,54.028,0.2137901795921754,-0.36992058791265336,2.0,2.0,2.0,2.8030394876740514,29.019550008653873,0.6106504100245024,0.0,0.0,-0.53,3.2451124978365313,3.4699999999999998,0.8748582995951415,1.1560092559629747,5.733667477162185,0.0,0.0,4.794537184071822,0.0,0.0,0.0,6.923737199690624,0.0,4.794537184071822,5.907179729351506,0.0,5.733667477162185,6.923737199690624,0.0,0.0,0.0,5.733667477162185,0.0,0.0,5.907179729351506,4.794537184071822,0.0,6.923737199690624,0.0,43.09,0.0,4.794537184071822,5.907179729351506,0.0,0.0,6.923737199690624,0.0,0.0,5.733667477162185,0.0,0.0,9.222222222222221,0.0,4.472222222222222,-0.33333333333333304,0.0,0.0,1.3055555555555556,0.5,2,0,0,1,2,0,0,-0.5084000000000002,1,1,0,0,0,0,0
sample_2,1.6527777777777777,4.597222222222222,1.6527777777777777,0.27331503611697344,40.025,-0.0017246824386040296,-0.2717217592299514,2.0,2.0,2.0,1.6329931618554523,2.7548875021634682,0.2886751345948129,0.0,0.0,-0.08,2.7548875021634682,2.92,1.9199999999999995,1.9200000000000033,0.0,0.0,0.0,11.268461667376624,0.0,0.0,7.04767198267719,0.0,0.0,0.0,0.0,5.425791397110385,5.842670270266239,0.0,7.04767198267719,0.0,0.0,11.268461667376624,0.0,0.0,7.04767198267719,0.0,0.0,0.0,0.0,38.05,0.0,0.0,0.0,0.0,0.0,0.0,7.04767198267719,0.0,11.268461667376624,0.0,0.0,0.0,0.0,2.25,4.597222222222222,0.0,0.0,0.0,1.0,3,0,0,2,2,0,0,-0.9205000000000001,0,0,0,0,0,0,0
sample_3,-0.8333333333333333,9.0,0.8333333333333333,0.4298828832001217,56.02,0.2996845531582142,-0.481433475172105,2.0,2.0,2.0,2.8030394876740514,27.019550008653873,0.5190180358994382,0.0,0.0,-0.53,3.2451124978365313,3.4699999999999998,0.8748582995951415,1.1560092559629747,5.106527394840706,0.0,0.0,4.794537184071822,0.0,0.0,0.0,6.923737199690624,0.0,9.901064578912528,5.969305287951849,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,0.0,6.923737199690624,0.0,37.3,5.969305287951849,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,9.901064578912528,0.0,9.0,7.416666666666666,0.0,-0.8333333333333333,0.0,0.0,1.0833333333333333,0.5,1,0,0,1,2,0,0,0.09089999999999993,1,0,0,0,0,0,0
sample_4,1.25,3.2222222222222223,1.25,0.4347944578283113,62.051,-0.004844703952428027,-0.3167309205412665,1.0,1.6,1.8,2.083333333333333,15.219280948873621,1.4571067811865472,0.6249999999999998,0.6249999999999998,-0.04,22.886435386960574,3.1616129032258065,1.4103121748178982,0.6183636836628511,5.316788604006331,0.0,0.0,0.0,0.0,0.0,25.93115605767717,0.0,0.0,0.0,0.0,5.316788604006331,0.0,12.841643245852019,13.08951281182515,0.0,0.0,5.316788604006331,0.0,0.0,13.08951281182515,0.0,0.0,12.841643245852019,0.0,12.03,0.0,0.0,0.0,0.0,0.0,25.93115605767717,0.0,0.0,5.316788604006331,0.0,0.0,0.0,3.2222222222222223,0.0,0.0,0.0,2.7777777777777777,2.5,1.0,1,1,0,1,1,0,1,0.36979999999999996,0,0,0,0,0,0,0
sample_5,-0.9398148148148147,9.229166666666666,0.9398148148148147,0.25664360627911675,72.023,0.33539090853305475,-0.3498912803677604,2.0,2.2,2.2,2.8473789230876716,42.91260938324327,0.47605416898611963,0.0,0.0,-0.77,9.65148445440323,4.230000000000002,1.5395975232198151,3.2300000000000026,5.733667477162185,0.0,6.031114512338072,5.20725302477729,10.274633782193025,0.0,0.0,0.0,0.0,10.001790208849112,6.031114512338072,5.480096598121202,5.733667477162185,0.0,0.0,0.0,0.0,11.213764075283386,4.794537184071822,0.0,11.238367537115362,0.0,0.0,0.0,0.0,75.35000000000001,6.031114512338072,4.794537184071822,0.0,0.0,0.0,5.480096598121202,0.0,0.0,5.733667477162185,5.20725302477729,0.0,9.229166666666666,7.418981481481481,5.458333333333334,0.0,-0.9398148148148147,0.0,0.0,0.0,4,0,0,2,4,0,0,-0.9561000000000002,1,1,0,0,0,0,0
sample_6,-0.9537037037037039,8.166666666666668,0.36458333333333326,0.3814944322102413,84.03,0.10004702601723478,-0.3935933161206694,1.1666666666666667,1.5,1.5,2.7541847860376616,25.219280948873624,1.0189718779350343,0.05773502691896257,0.05773502691896257,-0.12,19.800269059780252,5.88,3.0849180327868857,2.1377319587628865,15.319582184522117,6.103966387748303,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,15.319582184522117,0.0,0.0,0.0,6.103966387748303,13.213763929025836,0.0,0.0,0.0,0.0,0.0,34.63731250129626,0.0,0.0,0.0,0.0,60.69,6.103966387748303,0.0,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,15.319582184522117,0.0,0.0,24.016203703703706,0.0,0.0,0.0,-0.9537037037037039,-0.7291666666666665,1.0,3,0,0,3,3,2,0,-1.6681000000000001,0,0,0,0,0,0,0
sample_7,0.092592592592593,10.069444444444445,0.092592592592593,0.40990688283686294,78.05,0.2184251307903347,-0.3490642652721722,1.5,1.6666666666666667,1.6666666666666667,3.2575861612334887,58.568425030288566,1.413445226899354,0.0,0.0,-0.53,13.609640474436812,5.469999999999999,1.798837033645378,1.7581844380403455,4.899909730850478,0.0,0.0,4.794537184071822,0.0,0.0,0.0,21.019081165045005,0.0,4.794537184071822,5.907179729351506,4.899909730850478,0.0,6.923737199690624,14.09534396535438,0.0,0.0,0.0,0.0,0.0,24.902433425556364,4.794537184071822,0.0,6.923737199690624,0.0,20.310000000000002,0.0,4.794537184071822,5.907179729351506,0.0,0.0,11.823646930541102,14.09534396535438,0.0,0.0,0.0,0.0,11.597222222222221,0.0,0.0,0.092592592592593,0.0,0.0,1.5277777777777777,0.75,0,0,0,1,2,0,0,0.09450000000000003,1,1,1,0,0,0,0
sample_8,1.6388888888888888,3.5347222222222223,1.6388888888888888,0.4525571430979931,76.05799999999999,0.049568625573236845,-0.15917583224964102,0.8333333333333334,1.3333333333333333,1.5,3.000000000000001,77.47078006212229,0.9139826841355732,0.25334087078389095,0.25334087078389095,-0.92,34.3994618804395,3.2768503937007876,1.4998028396056793,0.5163568727137455,0.0,0.0,0.0,0.0,0.0,0.0,12.13273413692322,12.393687143226153,0.0,0.0,0.0,10.197363616602075,0.0,0.0,0.0,24.526421280149375,0.0,0.0,0.0,0.0,10.197363616602075,0.0,0.0,0.0,24.526421280149375,25.78,0.0,0.0,0.0,0.0,0.0,0.0,12.393687143226153,12.13273413692322,10.197363616602075,0.0,0.0,0.0,7.069444444444445,0.0,0.0,3.6527777777777777,3.2777777777777777,0.0,0.0,0,0,1,2,2,0,1,0.4765999999999999,0,0,2,0,0,0,0
sample_9,1.5,3.673611111111111,1.5,0.4525571430979931,76.05799999999999,0.11475741217610112,-0.2448319095615807,1.0,1.6666666666666667,1.8333333333333333,3.000000000000001,77.47078006212229,0.9042049375677446,0.25334087078389095,0.25334087078389095,-0.92,34.3994618804395,3.2768503937007876,1.4998028396056793,0.5163568727137455,0.0,6.3273200747645415,0.0,0.0,9.967957041894417,0.0,6.06636706846161,12.393687143226153,0.0,0.0,0.0,9.967957041894417,0.0,0.0,0.0,24.7873742864523,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,0.0,24.7873742864523,25.78,0.0,0.0,0.0,0.0,0.0,6.3273200747645415,18.460054211687762,0.0,9.967957041894417,0.0,0.0,7.347222222222222,0.0,0.0,0.0,1.7777777777777777,4.875,0.0,0.0,0,0,1,2,2,0,1,0.4765999999999999,0,0,2,0,0,0,0
sample_10,-1.669305555555556,8.95662037037037,0.7258182161753588,0.2612626527203185,168.05999999999997,0.11057860653131252,-0.393579134968567,0.6666666666666666,0.9166666666666666,1.0833333333333333,3.9851644508585786,104.6059378176129,2.4810286345909196,0.6712088270938985,0.6712088270938985,-0.24000000000000002,358.753229562491,11.760000000000002,5.413461330448892,3.015404674173516,30.63916436904423,24.41586555099321,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,30.63916436904423,0.0,0.0,0.0,24.41586555099321,13.213763929025836,0.0,0.0,0.0,0.0,0.0,68.26879384906327,0.0,0.0,0.0,0.0,121.38000000000001,37.62962948001904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.63916436904423,0.0,0.0,52.1769142101285,0.0,0.0,0.0,-6.391944444444446,-1.4516364323507176,1.0,6,0,0,6,6,5,0,-3.5854000000000004,0,0,0,0,0,0,0
