,sepal length,sepal width,petal length,petal width,species_setosa,species_versicolor,species_virginica
sample 1,5.1,3.5,1.4,0.2,True,False,False
sample 2,4.9,3.0,1.4,0.2,True,False,False
sample 3,4.7,3.2,1.3,0.2,True,False,False
sample 4,4.6,3.1,1.5,0.2,True,False,False
sample 5,5.0,3.6,1.4,0.2,True,False,False
sample 6,5.4,3.9,1.7,0.4,True,False,False
sample 7,4.6,3.4,1.4,0.3,True,False,False
sample 8,5.0,3.4,1.5,0.2,True,False,False
sample 9,4.4,2.9,1.4,0.2,True,False,False
sample 10,4.9,3.1,1.5,0.1,True,False,False
sample 11,5.4,3.7,1.5,0.2,True,False,False
sample 12,4.8,3.4,1.6,0.2,True,False,False
sample 13,4.8,3.0,1.4,0.1,True,False,False
sample 14,4.3,3.0,1.1,0.1,True,False,False
sample 15,5.8,4.0,1.2,0.2,True,False,False
sample 16,5.7,4.4,1.5,0.4,True,False,False
sample 17,5.4,3.9,1.3,0.4,True,False,False
sample 18,5.1,3.5,1.4,0.3,True,False,False
sample 19,5.7,3.8,1.7,0.3,True,False,False
sample 20,5.1,3.8,1.5,0.3,True,False,False
sample 21,5.4,3.4,1.7,0.2,True,False,False
sample 22,5.1,3.7,1.5,0.4,True,False,False
sample 23,4.6,3.6,1.0,0.2,True,False,False
sample 24,5.1,3.3,1.7,0.5,True,False,False
sample 25,4.8,3.4,1.9,0.2,True,False,False
sample 26,5.0,3.0,1.6,0.2,True,False,False
sample 27,5.0,3.4,1.6,0.4,True,False,False
sample 28,5.2,3.5,1.5,0.2,True,False,False
sample 29,5.2,3.4,1.4,0.2,True,False,False
sample 30,4.7,3.2,1.6,0.2,True,False,False
sample 31,4.8,3.1,1.6,0.2,True,False,False
sample 32,5.4,3.4,1.5,0.4,True,False,False
sample 33,5.2,4.1,1.5,0.1,True,False,False
sample 34,5.5,4.2,1.4,0.2,True,False,False
sample 35,4.9,3.1,1.5,0.2,True,False,False
sample 36,5.0,3.2,1.2,0.2,True,False,False
sample 37,5.5,3.5,1.3,0.2,True,False,False
sample 38,4.9,3.6,1.4,0.1,True,False,False
sample 39,4.4,3.0,1.3,0.2,True,False,False
sample 40,5.1,3.4,1.5,0.2,True,False,False
sample 41,5.0,3.5,1.3,0.3,True,False,False
sample 42,4.5,2.3,1.3,0.3,True,False,False
sample 43,4.4,3.2,1.3,0.2,True,False,False
sample 44,5.0,3.5,1.6,0.6,True,False,False
sample 45,5.1,3.8,1.9,0.4,True,False,False
sample 46,4.8,3.0,1.4,0.3,True,False,False
sample 47,5.1,3.8,1.6,0.2,True,False,False
sample 48,4.6,3.2,1.4,0.2,True,False,False
sample 49,5.3,3.7,1.5,0.2,True,False,False
sample 50,5.0,3.3,1.4,0.2,True,False,False
sample 51,7.0,3.2,4.7,1.4,False,True,False
sample 52,6.4,3.2,4.5,1.5,False,True,False
sample 53,6.9,3.1,4.9,1.5,False,True,False
sample 54,5.5,2.3,4.0,1.3,False,True,False
sample 55,6.5,2.8,4.6,1.5,False,True,False
sample 56,5.7,2.8,4.5,1.3,False,True,False
sample 57,6.3,3.3,4.7,1.6,False,True,False
sample 58,4.9,2.4,3.3,1.0,False,True,False
sample 59,6.6,2.9,4.6,1.3,False,True,False
sample 60,5.2,2.7,3.9,1.4,False,True,False
sample 61,5.0,2.0,3.5,1.0,False,True,False
sample 62,5.9,3.0,4.2,1.5,False,True,False
sample 63,6.0,2.2,4.0,1.0,False,True,False
sample 64,6.1,2.9,4.7,1.4,False,True,False
sample 65,5.6,2.9,3.6,1.3,False,True,False
sample 66,6.7,3.1,4.4,1.4,False,True,False
sample 67,5.6,3.0,4.5,1.5,False,True,False
sample 68,5.8,2.7,4.1,1.0,False,True,False
sample 69,6.2,2.2,4.5,1.5,False,True,False
sample 70,5.6,2.5,3.9,1.1,False,True,False
sample 71,5.9,3.2,4.8,1.8,False,True,False
sample 72,6.1,2.8,4.0,1.3,False,True,False
sample 73,6.3,2.5,4.9,1.5,False,True,False
sample 74,6.1,2.8,4.7,1.2,False,True,False
sample 75,6.4,2.9,4.3,1.3,False,True,False
sample 76,6.6,3.0,4.4,1.4,False,True,False
sample 77,6.8,2.8,4.8,1.4,False,True,False
sample 78,6.7,3.0,5.0,1.7,False,True,False
sample 79,6.0,2.9,4.5,1.5,False,True,False
sample 80,5.7,2.6,3.5,1.0,False,True,False
sample 81,5.5,2.4,3.8,1.1,False,True,False
sample 82,5.5,2.4,3.7,1.0,False,True,False
sample 83,5.8,2.7,3.9,1.2,False,True,False
sample 84,6.0,2.7,5.1,1.6,False,True,False
sample 85,5.4,3.0,4.5,1.5,False,True,False
sample 86,6.0,3.4,4.5,1.6,False,True,False
sample 87,6.7,3.1,4.7,1.5,False,True,False
sample 88,6.3,2.3,4.4,1.3,False,True,False
sample 89,5.6,3.0,4.1,1.3,False,True,False
